DateTime,V,DIR,SLP,TP,RH
2018-03-01-00:00:00,2.4,8,1018.6,273.55,22
2018-03-01-01:00:00,3.87,2,1018.6,274.65,20
2018-03-01-02:00:00,3.75,338,1018.2,276.75,18
2018-03-01-03:00:00,3.01,286,1017.6,277.35,17
2018-03-01-04:00:00,2.51,314,1016.6,278.85,15
2018-03-01-05:00:00,4.68,330,1015.3,280.65,12
2018-03-01-06:00:00,2.73,307,1014.1,280.95,10
2018-03-01-07:00:00,2.21,202,1013.4,281.45,10
2018-03-01-08:00:00,2.97,213,1012.9,281.35,12
2018-03-01-09:00:00,2.11,216,1012.5,280.95,14
2018-03-01-10:00:00,2.54,201,1012.5,279.35,17
2018-03-01-11:00:00,3.19,190,1012.8,278.35,19
2018-03-01-12:00:00,3.28,193,1012.9,278.05,20
2018-03-01-13:00:00,3.4,183,1012.8,275.35,23
2018-03-01-14:00:00,3.65,179,1012.7,274.65,26
2018-03-01-15:00:00,4.29,133,1012.3,275.35,24
2018-03-01-16:00:00,4.31,138,1011.6,273.75,34
2018-03-01-17:00:00,3.77,132,1011.3,273.25,36
2018-03-01-18:00:00,2.62,115,1011.1,273.05,37
2018-03-01-19:00:00,3.57,126,1010.5,272.75,34
2018-03-01-20:00:00,2.18,93,1009.8,271.95,37
2018-03-01-21:00:00,2.83,113,1009.7,272.45,38
2018-03-01-22:00:00,2.03,106,1008.8,272.05,44
2018-03-01-23:00:00,2.23,111,1008.3,271.65,47
2018-03-02-00:00:00,1.76,115,1008.5,273.05,44
2018-03-02-01:00:00,1.49,84,1008.3,274.25,39
2018-03-02-02:00:00,0.9,191,1007.6,275.85,33
2018-03-02-03:00:00,1.23,183,1006.9,277.35,32
2018-03-02-04:00:00,1.37,127,1005.8,277.85,30
2018-03-02-05:00:00,2.28,121,1004.1,279.65,27
2018-03-02-06:00:00,3.1,149,1002.8,280.65,26
2018-03-02-07:00:00,2.22,156,1002.3,281.25,25
2018-03-02-08:00:00,2.93,146,1001.6,281.75,25
2018-03-02-09:00:00,1.29,155,1001.2,281.45,25
2018-03-02-10:00:00,1.13,37,1001.5,279.95,27
2018-03-02-11:00:00,2.02,38,1001.7,277.05,32
2018-03-02-12:00:00,1.96,36,1001.8,276.65,34
2018-03-02-13:00:00,1.53,75,1001.9,276.45,36
2018-03-02-14:00:00,1.74,93,1001.8,277.95,41
2018-03-02-15:00:00,0.91,356,1001.3,275.05,42
2018-03-02-16:00:00,1.12,330,1000.8,273.25,52
2018-03-02-17:00:00,0.93,311,1000.5,271.65,54
