DateTime,V,DIR,SLP,TP,RH
2018-03-05-10:00:00,6.18,175,1023.8,278.25,27
2018-03-05-11:00:00,6.17,163,1025,276.15,32
2018-03-05-12:00:00,4.65,159,1026.4,274.75,37
2018-03-05-13:00:00,2.86,149,1027.2,273.15,44
2018-03-05-14:00:00,1.03,115,1027.9,272.25,50
2018-03-05-15:00:00,1.92,90,1028.2,271.35,56
2018-03-05-16:00:00,2.33,108,1028.6,270.75,60
2018-03-05-17:00:00,1.79,127,1029,270.25,61
2018-03-05-18:00:00,1.27,139,1029.2,269.85,63
2018-03-05-19:00:00,0.44,59,1028.9,269.05,67
2018-03-05-20:00:00,1.3,82,1029.1,269.25,68
2018-03-05-21:00:00,1.38,83,1029.7,269.05,71
2018-03-05-22:00:00,0.57,81,1030.7,269.25,69
2018-03-05-23:00:00,1.11,96,1031.7,268.75,74
2018-03-06-00:00:00,0.56,94,1032.8,270.65,67
2018-03-06-01:00:00,3.16,109,1033.4,271.85,59
2018-03-06-02:00:00,3.6,125,1034,273.35,55
2018-03-06-03:00:00,3.13,128,1033.9,274.25,50
2018-03-06-04:00:00,3.88,153,1033.1,275.95,42
2018-03-06-05:00:00,2.18,179,1031.7,276.55,37
2018-03-06-06:00:00,3.25,175,1030.7,277.85,33
2018-03-06-07:00:00,5.35,175,1030,277.65,29
2018-03-06-08:00:00,4.96,171,1029.6,276.95,29
2018-03-06-09:00:00,4.87,156,1029.5,276.65,29
2018-03-06-10:00:00,5.46,151,1030.2,275.25,36
2018-03-06-11:00:00,6.35,166,1030.7,273.85,38
2018-03-06-12:00:00,4.77,160,1030.8,273.45,30
2018-03-06-13:00:00,4.86,157,1031,273.05,32
2018-03-06-14:00:00,3.36,153,1030.8,272.55,38
2018-03-06-15:00:00,3.27,159,1030.6,272.05,44
2018-03-06-16:00:00,3.45,156,1029.9,271.45,45
2018-03-06-17:00:00,1.67,144,1029.5,271.15,48
2018-03-06-18:00:00,2.08,140,1029,271.05,49
2018-03-06-19:00:00,1.5,133,1028.2,270.45,52
2018-03-06-20:00:00,1.81,101,1027.1,270.25,42
2018-03-06-21:00:00,1.56,125,1026.7,270.35,40
2018-03-06-22:00:00,1.66,118,1025.7,269.85,41
2018-03-06-23:00:00,1.18,125,1025.4,269.45,44
2018-03-07-00:00:00,2.95,157,1025.5,270.55,43
2018-03-07-01:00:00,2.57,156,1025.8,271.35,42
2018-03-07-02:00:00,2.38,169,1025.1,271.75,43
2018-03-07-03:00:00,1.74,132,1024.1,272.65,45
2018-03-07-04:00:00,2.1,159,1023,273.95,46
2018-03-07-05:00:00,2,184,1022,274.15,47
2018-03-07-06:00:00,1.42,68,1021.3,275.15,44
2018-03-07-07:00:00,1.24,240,1020.8,274.85,45
2018-03-07-08:00:00,1.34,136,1020.5,274.95,46
2018-03-07-09:00:00,1.42,153,1020.5,275.25,46
2018-03-07-10:00:00,1.2,86,1021.5,274.75,49
2018-03-07-11:00:00,1.43,52,1023.2,273.65,52
2018-03-07-12:00:00,1.37,44,1024.5,272.75,56
2018-03-07-13:00:00,0.74,19,1025.7,271.25,67
2018-03-07-14:00:00,3.05,328,1026.9,272.45,54
2018-03-07-15:00:00,1.86,36,1027.7,270.95,64
2018-03-07-16:00:00,2.87,15,1028.3,271.65,59
2018-03-07-17:00:00,2.54,6,1029,271.95,49
2018-03-07-18:00:00,2.49,8,1029.2,271.75,48
2018-03-07-19:00:00,3.01,4,1029.3,271.25,48
2018-03-07-20:00:00,3,16,1029.5,272.05,38
2018-03-07-21:00:00,2.55,40,1029.8,271.35,37
2018-03-07-22:00:00,2.83,28,1030,271.45,34
2018-03-07-23:00:00,1.91,38,1030.8,270.35,35
2018-03-08-00:00:00,3.4,42,1031.3,272.35,30
2018-03-08-01:00:00,3.78,45,1031.6,274.05,27
2018-03-08-02:00:00,2.65,87,1031.7,275.75,23
2018-03-08-03:00:00,1.51,235,1031.3,277.75,22
2018-03-08-04:00:00,2.66,264,1030.2,278.25,21
2018-03-08-05:00:00,2.88,183,1029,279.75,20
2018-03-08-06:00:00,3.79,207,1027.7,280.85,20
2018-03-08-07:00:00,5.59,193,1027.1,280.75,22
2018-03-08-08:00:00,6.26,195,1026.6,280.15,27
2018-03-08-09:00:00,6.09,200,1026.4,279.25,30
2018-03-08-10:00:00,5.74,190,1025.5,278.45,32
2018-03-08-11:00:00,4.64,181,1026.1,277.35,37
2018-03-08-12:00:00,5.27,188,1026.6,277.15,38
2018-03-08-13:00:00,1.83,140,1027,275.45,43
2018-03-08-14:00:00,1.55,118,1026.8,274.55,43
2018-03-08-15:00:00,1.97,135,1026.4,273.95,44
2018-03-08-16:00:00,2.39,123,1026,272.25,52
2018-03-08-17:00:00,2.86,115,1025.9,271.35,57
2018-03-08-18:00:00,1.99,107,1025.4,270.85,62
2018-03-08-19:00:00,1.53,83,1024.8,270.15,65
2018-03-08-20:00:00,1.9,96,1024.5,269.55,66
2018-03-08-21:00:00,2.3,104,1024.1,269.55,67
2018-03-08-22:00:00,1,91,1023.5,269.05,69
2018-03-08-23:00:00,0.92,30,1023.3,267.95,73
2018-03-09-00:00:00,0.82,360,1023.3,270.65,62
2018-03-09-01:00:00,1.27,154,1023.1,272.05,53
2018-03-09-02:00:00,0.78,187,1022.1,273.75,46
2018-03-09-03:00:00,1.18,117,1020.9,275.75,41
2018-03-09-04:00:00,1.71,218,1019.4,277.25,37
2018-03-09-05:00:00,2.09,198,1017.9,278.45,36
2018-03-09-06:00:00,3.69,168,1016.3,280.15,34
2018-03-09-07:00:00,4.04,205,1015,282.25,30
2018-03-09-08:00:00,3.19,200,1014.2,282.25,32
2018-03-09-09:00:00,3.22,204,1013.9,281.95,33
2018-03-09-10:00:00,1.17,144,1013.8,280.55,37
2018-03-09-11:00:00,2.02,11,1014.2,276.05,44
2018-03-09-12:00:00,0.77,58,1014.2,275.95,48
2018-03-09-13:00:00,2,32,1014.5,275.55,51
2018-03-09-14:00:00,0.97,4,1014.9,274.45,49
2018-03-09-15:00:00,2.41,304,1015,275.15,50
2018-03-09-16:00:00,1.7,351,1015.1,275.45,49
2018-03-09-17:00:00,1.22,7,1015.3,273.35,56
2018-03-09-18:00:00,2.24,336,1015.8,273.05,59
2018-03-09-19:00:00,3.19,350,1015.8,271.55,65
2018-03-09-20:00:00,3.04,355,1016,271.95,63
2018-03-09-21:00:00,3.66,5,1016.4,271.35,65
2018-03-09-22:00:00,2.29,350,1017,271.55,63
2018-03-09-23:00:00,3.99,338,1017.3,271.05,68
2018-03-10-00:00:00,2.6,7,1018.2,276.15,48
2018-03-10-01:00:00,1.47,69,1019.3,279.85,36
2018-03-10-02:00:00,2.9,160,1020.5,280.65,38
2018-03-10-03:00:00,4.48,142,1020.4,282.45,34
2018-03-10-04:00:00,3.98,141,1020.2,284.45,30
2018-03-10-05:00:00,5.03,160,1019.6,285.45,29
2018-03-10-06:00:00,4.44,158,1018.8,285.45,30
2018-03-10-07:00:00,4.08,137,1018.6,285.25,30
2018-03-10-08:00:00,4.64,166,1018.3,285.15,30
2018-03-10-09:00:00,5.16,158,1018.5,283.95,34
2018-03-10-10:00:00,4.29,150,1019.1,282.15,40
2018-03-10-11:00:00,3.86,145,1020,279.95,42
2018-03-10-12:00:00,5.03,157,1021,277.85,45
2018-03-10-13:00:00,3.11,166,1021.8,276.15,47
2018-03-10-14:00:00,2.06,151,1022.5,275.85,49
2018-03-10-15:00:00,2.99,161,1023.1,274.55,56
2018-03-10-16:00:00,2.1,149,1023.5,274.15,57
2018-03-10-17:00:00,1.27,164,1023.5,273.65,61
2018-03-10-18:00:00,1.2,180,1023.1,271.95,71
2018-03-10-19:00:00,0.85,162,1022.7,271.95,68
2018-03-10-20:00:00,1.25,341,1022.3,270.85,79
2018-03-10-21:00:00,0.24,30,1022.5,270.25,75
2018-03-10-22:00:00,0.35,108,1022.5,269.55,73
2018-03-10-23:00:00,0.63,25,1023,270.05,75
2018-03-11-00:00:00,2.23,315,1023.1,273.55,61
2018-03-11-01:00:00,2.14,316,1023,276.45,42
2018-03-11-02:00:00,1.5,273,1022.8,277.35,36
2018-03-11-03:00:00,1.47,106,1022.2,277.65,34
2018-03-11-04:00:00,2.25,141,1021.2,277.85,35
2018-03-11-05:00:00,1.91,145,1020.3,278.95,33
2018-03-11-06:00:00,1.65,40,1018.9,279.35,32
2018-03-11-07:00:00,1.74,126,1018.1,279.65,31
2018-03-11-08:00:00,1.52,153,1017.1,279.95,34
2018-03-11-09:00:00,1.07,137,1016.7,280.15,35
2018-03-11-10:00:00,0.43,127,1016.5,279.95,37
2018-03-11-11:00:00,0.84,162,1016.5,279.05,40
2018-03-11-12:00:00,2.36,350,1016.6,277.95,38
2018-03-11-13:00:00,1,15,1016.5,278.25,39
2018-03-11-14:00:00,0.69,1,1016.3,278.25,39
2018-03-11-15:00:00,1.72,337,1015.9,278.45,37
2018-03-11-16:00:00,1.11,80,1015.4,277.85,44
2018-03-11-17:00:00,1.36,142,1014.9,278.05,45
2018-03-11-18:00:00,1.21,136,1014.3,277.55,67
2018-03-11-19:00:00,1.02,179,1013.5,277.05,71
2018-03-11-20:00:00,0.2,30,1012.7,274.85,81
2018-03-11-21:00:00,0.28,253,1012.3,273.55,84
2018-03-11-22:00:00,0.89,26,1012.2,273.15,74
2018-03-11-23:00:00,1.04,339,1011.9,272.95,69
2018-03-12-00:00:00,2.42,321,1012.1,275.95,54
2018-03-12-01:00:00,1.74,318,1012.1,277.85,47
2018-03-12-02:00:00,1.51,269,1011.4,280.15,39
2018-03-12-03:00:00,1.73,287,1010.6,280.85,38
2018-03-12-04:00:00,2.09,263,1009.6,282.85,34
2018-03-12-05:00:00,1.86,202,1008.7,283.45,35
2018-03-12-06:00:00,2.27,236,1007.3,284.75,34
2018-03-12-07:00:00,2.83,163,1006.7,285.85,38
2018-03-12-08:00:00,2.38,158,1006.1,285.35,39
2018-03-12-09:00:00,2.72,167,1006,284.95,40
2018-03-12-10:00:00,0.83,148,1006.3,283.95,44
2018-03-12-11:00:00,1.17,118,1006.6,281.25,55
2018-03-12-12:00:00,1.57,107,1007.1,281.25,55
2018-03-12-13:00:00,0.78,100,1007.2,278.95,73
2018-03-12-14:00:00,0.8,102,1006.9,277.85,75
2018-03-12-15:00:00,0.8,30,1007.1,277.85,71
2018-03-12-16:00:00,0.86,63,1006.8,277.25,73
2018-03-12-17:00:00,0.96,89,1006.7,276.55,76
2018-03-12-18:00:00,0.54,16,1006.6,276.05,77
2018-03-12-19:00:00,1.74,359,1006.2,275.35,80
2018-03-12-20:00:00,1.56,326,1006,274.65,73
2018-03-12-21:00:00,1.68,324,1005.9,274.05,83
2018-03-12-22:00:00,2.43,324,1005.8,273.65,81
2018-03-12-23:00:00,2.6,341,1006.1,274.75,75
2018-03-13-00:00:00,3.06,338,1006.5,277.45,67
2018-03-13-01:00:00,2.36,329,1006.9,280.75,53
2018-03-13-02:00:00,2.07,326,1006.7,282.85,47
2018-03-13-03:00:00,2.2,303,1006.3,286.35,39
2018-03-13-04:00:00,1.48,306,1005.7,287.55,33
2018-03-13-05:00:00,1.57,202,1005.1,289.35,29
2018-03-13-06:00:00,1.72,207,1004,290.85,28
2018-03-13-07:00:00,2.29,221,1003.6,291.25,27
2018-03-13-08:00:00,2.39,204,1003.4,291.95,26
2018-03-13-09:00:00,2.01,167,1003.6,291.65,27
2018-03-13-10:00:00,0.98,129,1004,288.75,34
2018-03-13-11:00:00,0.81,61,1004.5,285.75,44
2018-03-13-12:00:00,0.58,134,1005.3,283.45,57
2018-03-13-13:00:00,0.66,47,1005.8,282.55,60
2018-03-13-14:00:00,0.78,20,1006,282.55,54
2018-03-13-15:00:00,1.38,94,1006.1,281.25,60
2018-03-13-16:00:00,0.77,18,1006.4,281.75,60
2018-03-13-17:00:00,1.3,351,1006.9,279.75,65
2018-03-13-18:00:00,3.12,112,1007.4,283.85,67
2018-03-13-19:00:00,0.96,158,1006.7,282.45,73
2018-03-13-20:00:00,0.66,351,1006.3,280.85,82
2018-03-13-21:00:00,0.85,283,1006.3,279.85,86
2018-03-13-22:00:00,1.16,179,1006.3,278.75,86
2018-03-13-23:00:00,1.22,128,1006.7,279.15,87
2018-03-14-00:00:00,1.52,131,1007,280.65,83
2018-03-14-01:00:00,0.76,118,1007.2,282.65,72
2018-03-14-02:00:00,1.92,150,1006.7,284.55,63
2018-03-14-03:00:00,2.21,119,1006.6,286.35,58
2018-03-14-04:00:00,3.24,121,1005.7,286.65,58
2018-03-14-05:00:00,3.26,123,1004.9,286.85,57
2018-03-14-06:00:00,2.46,89,1004.2,287.05,57
2018-03-14-07:00:00,1.98,119,1003.5,287.45,57
2018-03-14-08:00:00,2.55,100,1003.4,287.55,56
2018-03-14-09:00:00,1.24,81,1003.4,287.55,57
2018-03-14-10:00:00,1.99,330,1003.7,287.15,58
2018-03-14-11:00:00,0.84,44,1003.5,286.75,60
2018-03-14-12:00:00,2.2,344,1004.7,284.75,65
2018-03-14-13:00:00,2.68,337,1005.5,284.35,67
2018-03-14-14:00:00,3.28,332,1006.5,284.45,67
2018-03-14-15:00:00,2.77,2,1007.3,284.65,70
2018-03-14-16:00:00,3.92,11,1008.6,286.75,54
2018-03-14-17:00:00,6.39,25,1009.5,287.65,31
2018-03-14-18:00:00,7.84,6,1011.1,286.25,30
2018-03-14-19:00:00,5.96,23,1013.1,285.65,29
2018-03-14-20:00:00,5.99,25,1014.6,284.35,32
2018-03-14-21:00:00,6.99,25,1015.8,283.25,32
2018-03-14-22:00:00,6.08,28,1018,282.45,30
2018-03-14-23:00:00,6.05,28,1019.8,281.05,30
2018-03-15-00:00:00,6.22,28,1021.7,280.55,25
2018-03-15-01:00:00,8.84,18,1022.8,280.35,18
2018-03-15-02:00:00,9.48,14,1023.6,281.65,13
2018-03-15-03:00:00,7.82,14,1023.9,281.75,13
2018-03-15-04:00:00,7.73,8,1024,282.45,11
2018-03-15-05:00:00,6.46,33,1023.8,283.65,10
2018-03-15-06:00:00,5.18,31,1023.3,284.65,10
2018-03-15-07:00:00,4.1,30,1023,285.35,9
2018-03-15-08:00:00,5.8,56,1022.7,285.25,9
2018-03-15-09:00:00,4.88,62,1023.2,285.15,10
2018-03-15-10:00:00,3.02,71,1023.6,284.15,10
2018-03-15-11:00:00,5.24,156,1024.4,281.15,29
2018-03-15-12:00:00,3.11,150,1026.1,280.35,31
2018-03-15-13:00:00,4.52,152,1027.6,279.15,30
2018-03-15-14:00:00,3.74,159,1028.7,278.15,34
2018-03-15-15:00:00,4.31,167,1029.2,277.15,40
2018-03-15-16:00:00,3.06,163,1029.9,275.25,50
2018-03-15-17:00:00,2.47,159,1030.1,274.55,57
2018-03-15-18:00:00,1.87,158,1030.2,273.35,59
2018-03-15-19:00:00,1.16,130,1029.8,272.65,63
2018-03-15-20:00:00,1.63,167,1030.1,272.75,66
2018-03-15-21:00:00,1.49,150,1030,272.25,64
2018-03-15-22:00:00,1.48,86,1030.3,271.25,71
2018-03-15-23:00:00,0.59,82,1030.9,270.75,74
2018-03-16-00:00:00,1.4,141,1031,274.85,57
2018-03-16-01:00:00,1.96,208,1031.5,276.75,48
2018-03-16-02:00:00,3.17,227,1031.3,278.35,40
2018-03-16-03:00:00,4,192,1030.5,279.35,37
2018-03-16-04:00:00,3.57,229,1029.1,280.45,34
2018-03-16-05:00:00,3.34,168,1027.7,281.15,33
2018-03-16-06:00:00,3.97,225,1026.2,282.65,29
2018-03-16-07:00:00,4.12,185,1025.1,282.15,28
2018-03-16-08:00:00,6.08,186,1024.6,282.65,27
2018-03-16-09:00:00,6.39,199,1024.1,282.25,27
2018-03-16-10:00:00,4.77,180,1023.8,281.35,30
2018-03-16-11:00:00,5.1,191,1024,280.85,31
2018-03-16-12:00:00,4.4,175,1024.5,278.25,37
2018-03-16-13:00:00,3.13,171,1024.6,278.85,38
2018-03-16-14:00:00,3.94,156,1024.9,277.95,40
2018-03-16-15:00:00,4.98,168,1024.9,276.65,41
2018-03-16-16:00:00,3.09,155,1024.6,276.35,41
2018-03-16-17:00:00,1.73,129,1023.9,275.35,46
2018-03-16-18:00:00,2,109,1023.9,275.25,45
2018-03-16-19:00:00,2.07,117,1022.9,274.65,51
2018-03-16-20:00:00,1.37,68,1022.4,274.85,49
2018-03-16-21:00:00,1.47,101,1022.2,275.25,47
2018-03-16-22:00:00,1.17,62,1022.2,275.05,49
2018-03-16-23:00:00,1.18,90,1022.2,275.15,50
2018-03-17-00:00:00,1.23,112,1022.7,275.35,48
2018-03-17-01:00:00,0.9,104,1023.6,274.65,59
2018-03-17-02:00:00,1.48,65,1024,273.85,76
2018-03-17-03:00:00,1.91,74,1023.4,273.45,90
2018-03-17-04:00:00,1.98,85,1022.8,273.75,89
2018-03-17-05:00:00,1.68,109,1022.1,273.45,94
2018-03-17-06:00:00,-9999,-9999,1021.5,273.75,93
2018-03-17-07:00:00,-9999,-9999,1021.1,273.95,91
2018-03-17-08:00:00,-9999,-9999,1020.9,274.15,89
2018-03-17-09:00:00,1.29,116,1020.6,274.35,91
2018-03-17-10:00:00,1.51,127,1020.8,274.25,92
2018-03-17-11:00:00,1.84,139,1020.9,274.25,91
2018-03-17-12:00:00,1.68,142,1021.3,274.35,93
2018-03-17-13:00:00,1.21,140,1021.7,274.45,94
2018-03-17-14:00:00,1.23,50,1021.7,274.55,94
2018-03-17-15:00:00,0.87,89,1021.4,274.65,94
2018-03-17-16:00:00,0.77,102,1021.4,274.45,95
2018-03-17-17:00:00,0.53,114,1021.1,274.45,94
2018-03-17-18:00:00,0.84,55,1021,274.55,93
2018-03-17-19:00:00,0.67,18,1020.3,273.85,93
2018-03-17-20:00:00,1.9,310,1019.8,274.45,93
2018-03-17-21:00:00,1.68,6,1020.1,273.25,93
2018-03-17-22:00:00,2.01,5,1020.5,272.15,96
2018-03-17-23:00:00,0.86,13,1020.3,272.35,97
2018-03-18-00:00:00,2.59,311,1020.6,274.35,92
2018-03-18-01:00:00,2.84,319,1021.2,276.45,81
2018-03-18-02:00:00,1.63,18,1021.2,278.45,69
2018-03-18-03:00:00,0.98,130,1021,279.35,63
2018-03-18-04:00:00,0.74,159,1020.4,281.75,55
2018-03-18-05:00:00,1.68,222,1019.3,282.55,51
2018-03-18-06:00:00,1.85,222,1018,284.55,45
2018-03-18-07:00:00,2.34,164,1017.4,284.55,44
2018-03-18-08:00:00,2.61,191,1017.1,285.65,41
2018-03-18-09:00:00,3.04,154,1017.1,285.15,43
2018-03-18-10:00:00,2.54,154,1017.8,283.05,49
2018-03-18-11:00:00,1.79,143,1018.5,281.85,55
2018-03-18-12:00:00,2.92,167,1019.2,279.85,61
2018-03-18-13:00:00,2.25,150,1019.6,279.45,68
2018-03-18-14:00:00,1.63,146,1020.1,278.45,75
2018-03-18-15:00:00,0.86,100,1020.2,277.25,82
2018-03-18-16:00:00,1.2,50,1020.1,276.15,87
2018-03-18-17:00:00,0.72,79,1020.2,275.65,88
2018-03-18-18:00:00,0.57,336,1020.1,275.05,92
2018-03-18-19:00:00,2.39,343,1019.8,275.05,89
2018-03-18-20:00:00,4.01,323,1019.7,276.75,79
2018-03-18-21:00:00,0.88,34,1020.4,275.55,83
2018-03-18-22:00:00,2.68,354,1020.9,275.85,78
2018-03-18-23:00:00,0.6,25,1021.7,276.15,79
2018-03-19-00:00:00,3.15,312,1022.9,279.15,68
2018-03-19-01:00:00,2.33,304,1023.5,281.15,54
2018-03-19-02:00:00,2.67,49,1023.3,284.35,35
2018-03-19-03:00:00,3.21,75,1023.4,285.95,25
2018-03-19-04:00:00,2.85,87,1023.2,286.05,30
2018-03-19-05:00:00,2.26,103,1022.4,287.65,26
2018-03-19-06:00:00,2.91,118,1021.5,287.75,28
2018-03-19-07:00:00,3.39,173,1020.8,288.35,27
2018-03-19-08:00:00,3.07,207,1020.6,288.05,25
2018-03-19-09:00:00,3.35,181,1020.7,287.65,24
2018-03-19-10:00:00,4.25,154,1021.5,285.85,25
2018-03-19-11:00:00,2.4,139,1022.4,284.35,25
2018-03-19-12:00:00,1.8,114,1023,282.85,29
2018-03-19-13:00:00,1.7,118,1023.8,282.75,28
2018-03-19-14:00:00,2.43,115,1024.6,282.15,27
2018-03-19-15:00:00,3,113,1025.3,281.55,23
2018-03-19-16:00:00,0.91,132,1025.9,280.55,24
2018-03-19-17:00:00,1.4,161,1026.4,279.65,34
2018-03-19-18:00:00,0.95,140,1026.6,278.05,44
2018-03-19-19:00:00,2.17,356,1026.4,277.95,42
2018-03-19-20:00:00,3.24,60,1026,279.45,19
2018-03-19-21:00:00,5.34,33,1026.3,278.95,18
2018-03-19-22:00:00,5.34,28,1026.7,278.65,16
2018-03-19-23:00:00,3.36,29,1027.5,278.65,15
2018-03-20-00:00:00,4.5,28,1027.9,279.15,14
2018-03-20-01:00:00,4.52,35,1028.4,280.45,12
2018-03-20-02:00:00,2.79,68,1028.1,281.55,12
2018-03-20-03:00:00,3.11,29,1027.6,282.25,12
2018-03-20-04:00:00,2.38,347,1026.6,283.25,11
2018-03-20-05:00:00,1.55,13,1025.5,284.25,11
2018-03-20-06:00:00,2.61,88,1024.5,284.05,12
2018-03-20-07:00:00,2.1,175,1023.7,284.55,12
2018-03-20-08:00:00,3.41,193,1023.3,284.45,13
2018-03-20-09:00:00,3.02,165,1023,283.85,13
2018-03-20-10:00:00,4.06,171,1023.2,282.35,17
2018-03-20-11:00:00,2.9,161,1023.5,281.35,21
