DateTime,V,VX,VY,DIR,TP,RH,SLP
2018-05-31-10:00:00,3.93497,1.12307,3.70595,196.85919,306.14795,16.21485,1011.04791
2018-05-31-11:00:00,4.24043,1.69182,3.82497,203.86024,304.21313,19.74301,1011.41583
2018-05-31-12:00:00,4.5459,2.26056,3.94398,209.81993,302.27832,23.27117,1011.78375
2018-05-31-13:00:00,4.24681,2.35151,3.50456,213.86102,301.1488,26.6552,1012.17419
2018-05-31-14:00:00,3.94772,2.44245,3.06514,218.54956,300.01926,30.03922,1012.56458
2018-05-31-15:00:00,3.64863,2.5334,2.62572,223.97485,298.88974,33.42325,1012.95502
2018-05-31-16:00:00,2.96306,2.19176,1.58095,234.19649,297.50641,36.89693,1013.01019
2018-05-31-17:00:00,2.27748,1.85012,0.53619,253.83777,296.12308,40.37061,1013.06543
2018-05-31-18:00:00,1.59191,1.50849,-0.50858,288.63116,294.73975,43.8443,1013.12061
2018-05-31-19:00:00,1.63271,0.83277,-0.88371,316.6998,293.83752,46.60759,1013.16058
2018-05-31-20:00:00,1.67351,0.15705,-1.25884,352.88849,292.93533,49.37088,1013.20062
2018-05-31-21:00:00,1.71432,-0.51866,-1.63397,17.61069,292.03311,52.13417,1013.2406
2018-05-31-22:00:00,1.54924,-0.38057,-1.49419,14.28932,294.53635,46.11481,1013.59937
2018-05-31-23:00:00,1.38417,-0.24247,-1.3544,10.14987,297.03955,40.09544,1013.95813
2018-06-01-00:00:00,0.98493,-0.18296,-0.96779,10.70552,300.24811,30.32158,1014.14001
2018-06-01-01:00:00,1.65868,0.33509,0.24656,233.65472,302.74002,25.01233,1013.7923
2018-06-01-02:00:00,2.33243,0.85314,1.4609,210.28421,305.23196,19.70307,1013.44458
2018-06-01-03:00:00,3.00618,1.37119,2.67524,207.13736,307.72388,14.39381,1013.09686
2018-06-01-04:00:00,3.97602,1.56644,3.64438,203.25916,308.34512,13.03655,1012.39832
2018-06-01-05:00:00,4.94586,1.76168,4.61351,200.89951,308.9664,11.67929,1011.69977
2018-06-01-06:00:00,5.9157,1.95693,5.58264,199.31749,309.58765,10.32203,1011.00122
2018-06-01-07:00:00,6.00604,2.09327,5.62725,200.40457,309.06064,11.04685,1010.57104
2018-06-01-08:00:00,6.09638,2.2296,5.67185,201.45978,308.5336,11.77168,1010.14081
2018-06-01-09:00:00,6.18673,2.36594,5.71646,202.48383,308.00659,12.4965,1009.71063
2018-06-01-10:00:00,5.45413,1.94521,5.0887,200.91989,306.17578,15.33995,1010.03503
2018-06-01-11:00:00,4.72153,1.52448,4.46095,198.86728,304.34497,18.1834,1010.35938
2018-06-01-12:00:00,3.98894,1.10374,3.83319,196.06345,302.51416,21.02684,1010.68378
2018-06-01-13:00:00,3.76154,1.1107,3.59201,197.18237,301.25375,23.93917,1010.9917
2018-06-01-14:00:00,3.53415,1.11766,3.35082,198.44598,299.99332,26.8515,1011.29956
2018-06-01-15:00:00,3.30675,1.12461,3.10964,199.88277,298.73291,29.76383,1011.60748
2018-06-01-16:00:00,2.89706,0.70231,2.76402,194.25648,298.07291,31.83893,1011.36414
2018-06-01-17:00:00,2.48737,0.28,2.41841,186.60411,297.41293,33.91404,1011.12085
2018-06-01-18:00:00,2.07768,-0.14231,2.0728,176.07236,296.75293,35.98914,1010.8775
2018-06-01-19:00:00,1.86814,-0.57715,1.35503,156.92923,295.4617,40.05767,1010.81268
2018-06-01-20:00:00,1.6586,-1.01199,0.63725,122.19884,294.17044,44.12619,1010.74792
2018-06-01-21:00:00,1.44906,-1.44682,-0.08052,86.81464,292.87921,48.19472,1010.68311
2018-06-01-22:00:00,1.33199,-1.29056,0.11256,94.98473,294.67496,44.23959,1010.93121
2018-06-01-23:00:00,1.21492,-1.13429,0.30564,105.08067,296.47073,40.28447,1011.17938
2018-06-02-00:00:00,0.56841,-0.34576,0.45115,142.53392,298.41196,35.25946,1010.98877
2018-06-02-01:00:00,1.44861,0.03668,1.33654,181.57205,300.86417,30.24528,1010.57666
2018-06-02-02:00:00,2.32882,0.41912,2.22192,190.68213,303.31635,25.23109,1010.16461
2018-06-02-03:00:00,3.20903,0.80156,3.10731,194.46461,305.76855,20.21691,1009.7525
2018-06-02-04:00:00,4.04739,0.82787,3.95687,191.81711,306.6962,19.36728,1008.84833
2018-06-02-05:00:00,4.88576,0.85418,4.80643,190.07713,307.62387,18.51766,1007.94415
2018-06-02-06:00:00,5.72412,0.88049,5.656,188.8484,308.55151,17.66803,1007.03998
2018-06-02-07:00:00,5.92024,1.06115,5.82071,190.33191,308.28467,17.96555,1006.52228
2018-06-02-08:00:00,6.11637,1.24182,5.98542,191.72107,308.01782,18.26307,1006.00458
2018-06-02-09:00:00,6.31249,1.42248,6.15013,193.02309,307.75098,18.56059,1005.48688
2018-06-02-10:00:00,5.94805,1.28485,5.80695,192.47633,306.09659,23.64371,1005.67084
2018-06-02-11:00:00,5.58361,1.14723,5.46377,191.85812,304.44223,28.72682,1005.8548
2018-06-02-12:00:00,5.21917,1.0096,5.12059,191.15366,302.78784,33.80993,1006.03876
2018-06-02-13:00:00,5.2309,1.05043,5.12404,191.58513,301.82748,37.0939,1006.22003
2018-06-02-14:00:00,5.24262,1.09126,5.12749,192.01469,300.86716,40.37788,1006.40125
2018-06-02-15:00:00,5.25434,1.13208,5.13094,192.44232,299.9068,43.66185,1006.58252
2018-06-02-16:00:00,4.86719,0.81442,4.78361,189.66212,298.98428,46.54721,1006.25397
2018-06-02-17:00:00,4.48003,0.49676,4.43628,186.38922,298.0618,49.43256,1005.92542
2018-06-02-18:00:00,4.09288,0.1791,4.08896,182.50806,297.13928,52.31792,1005.59686
2018-06-02-19:00:00,3.31448,0.07926,3.31049,181.3716,296.34164,55.28802,1005.74622
2018-06-02-20:00:00,2.53607,-0.02057,2.53201,179.53444,295.54398,58.25811,1005.89563
2018-06-02-21:00:00,1.75767,-0.12041,1.75354,176.07173,294.74634,61.2282,1006.04498
2018-06-02-22:00:00,1.29563,-0.08786,1.04541,175.19612,295.98682,57.25211,1006.4306
2018-06-02-23:00:00,0.8336,-0.0553,0.33727,170.68863,297.22726,53.27602,1006.81628
2018-06-03-00:00:00,1.62653,0.10527,-1.62312,356.28915,298.56732,44.9083,1007.48938
2018-06-03-01:00:00,1.57598,-0.31635,-1.38586,12.85851,299.75729,40.47321,1007.42749
2018-06-03-02:00:00,1.52542,-0.73797,-1.14861,32.72046,300.94724,36.03811,1007.36566
2018-06-03-03:00:00,1.47486,-1.15959,-0.91135,51.83551,302.13721,31.60302,1007.30377
2018-06-03-04:00:00,2.04452,0.27819,-0.46199,328.94568,301.59781,26.89952,1007.11334
2018-06-03-05:00:00,2.61418,1.71597,-0.01263,270.42157,301.05844,22.19601,1006.92291
2018-06-03-06:00:00,3.18384,3.15374,0.43674,262.11575,300.51904,17.49251,1006.73248
2018-06-03-07:00:00,3.11035,2.1183,1.27882,238.88068,300.92383,16.76603,1006.19958
2018-06-03-08:00:00,3.03685,1.08286,2.1209,207.04736,301.32861,16.03955,1005.66663
2018-06-03-09:00:00,2.96336,0.04742,2.96298,180.91687,301.7334,15.31307,1005.13373
2018-06-03-10:00:00,2.26038,-0.20242,1.81301,173.62927,300.54282,18.4308,1005.58954
2018-06-03-11:00:00,1.55741,-0.45227,0.66304,145.70168,299.3522,21.54853,1006.04541
2018-06-03-12:00:00,0.85443,-0.70211,-0.48693,55.25764,298.16162,24.66626,1006.50122
2018-06-03-13:00:00,0.90911,-0.28163,-0.60833,24.84178,297.12881,26.53858,1006.70917
2018-06-03-14:00:00,0.96379,0.13885,-0.72974,349.22675,296.09604,28.41091,1006.91705
2018-06-03-15:00:00,1.01847,0.55933,-0.85114,326.68884,295.06323,30.28323,1007.125
2018-06-03-16:00:00,1.03236,0.5662,-0.86324,326.73917,293.806,32.47393,1007.26001
2018-06-03-17:00:00,1.04624,0.57307,-0.87534,326.78815,292.54874,34.66462,1007.39502
2018-06-03-18:00:00,1.06013,0.57993,-0.88744,326.83588,291.2915,36.85532,1007.53003
2018-06-03-19:00:00,1.28132,0.7949,-0.9959,321.4043,290.62723,37.86527,1007.53271
2018-06-03-20:00:00,1.50251,1.00986,-1.10437,317.55933,289.96292,38.87523,1007.53546
2018-06-03-21:00:00,1.7237,1.22483,-1.21283,314.71796,289.29865,39.88518,1007.53815
2018-06-03-22:00:00,1.39546,0.81192,-1.05483,322.41406,292.15292,33.99826,1007.76837
2018-06-03-23:00:00,1.06721,0.399,-0.89683,336.01562,295.00723,28.11135,1007.99854
2018-06-04-00:00:00,0.50993,-0.50917,-0.02777,86.87806,296.81287,42.57153,1008.14124
2018-06-04-01:00:00,1.3005,-0.16034,0.92519,170.16827,299.6727,34.38251,1007.41791
2018-06-04-02:00:00,2.09108,0.1885,1.87815,185.73119,302.5325,26.19349,1006.69458
2018-06-04-03:00:00,2.88166,0.53733,2.83112,190.7466,305.39233,18.00447,1005.97125
2018-06-04-04:00:00,3.83684,1.05484,3.672,196.02756,306.42709,15.50932,1004.94208
2018-06-04-05:00:00,4.79202,1.57235,4.51288,199.20905,307.46182,13.01418,1003.9129
2018-06-04-06:00:00,5.7472,2.08986,5.35376,201.32338,308.49658,10.51903,1002.88373
2018-06-04-07:00:00,6.43965,2.3827,5.98239,201.71671,308.17139,10.90627,1002.18164
2018-06-04-08:00:00,7.13211,2.67555,6.61102,202.03368,307.84619,11.2935,1001.47961
2018-06-04-09:00:00,7.82457,2.96839,7.23965,202.29454,307.521,11.68074,1000.77753
2018-06-04-10:00:00,7.73954,2.77955,7.2192,201.05783,306.17114,12.74016,1000.61963
2018-06-04-11:00:00,7.6545,2.59072,7.19874,199.79303,304.82129,13.79959,1000.46167
2018-06-04-12:00:00,7.56946,2.40188,7.17828,198.50043,303.47144,14.85901,1000.30377
2018-06-04-13:00:00,7.20945,2.33647,6.81989,198.91127,302.30557,16.88715,1000.38165
2018-06-04-14:00:00,6.84944,2.27106,6.4615,199.36533,301.13974,18.91529,1000.45959
2018-06-04-15:00:00,6.48943,2.20565,6.1031,199.86974,299.97388,20.94343,1000.53748
2018-06-04-16:00:00,5.15717,1.5447,4.89629,197.50963,298.72238,22.46882,1000.63
2018-06-04-17:00:00,3.82491,0.88375,3.68948,193.47041,297.47092,23.99421,1000.72247
2018-06-04-18:00:00,2.49264,0.2228,2.48267,185.12819,296.21942,25.5196,1000.815
2018-06-04-19:00:00,2.15805,-0.11584,1.23511,174.64177,294.71976,29.01102,1000.92041
2018-06-04-20:00:00,1.82345,-0.45449,-0.01245,88.43072,293.22012,32.50243,1001.02582
2018-06-04-21:00:00,1.48886,-0.79314,-1.26001,32.18913,291.72046,35.99384,1001.13123
2018-06-04-22:00:00,1.33539,-0.87066,-0.86511,45.18333,294.1409,31.43441,1001.54913
2018-06-04-23:00:00,1.18193,-0.94819,-0.4702,63.62321,296.56137,26.87498,1001.9671
2018-06-05-00:00:00,0.21195,-0.06462,0.20186,162.24881,299.22073,23.79346,1001.82001
2018-06-05-01:00:00,0.94799,-0.3553,0.87839,157.97734,302.25003,20.76199,1001.52649
2018-06-05-02:00:00,1.68403,-0.64598,1.55493,157.44016,305.2793,17.73052,1001.23291
2018-06-05-03:00:00,2.42007,-0.93665,2.23146,157.22983,308.30859,14.69905,1000.93939
2018-06-05-04:00:00,3.24536,-0.37934,3.10111,173.02603,309.59097,13.12573,1000.24731
2018-06-05-05:00:00,4.07065,0.17798,3.97076,182.56638,310.87338,11.55241,999.55518
2018-06-05-06:00:00,4.89594,0.73529,4.84041,188.63759,312.15576,9.97909,998.8631
2018-06-05-07:00:00,6.21664,2.04374,5.73788,199.60509,312.13135,9.70852,998.37769
2018-06-05-08:00:00,7.53735,3.35219,6.63535,206.80298,312.10693,9.43795,997.89227
2018-06-05-09:00:00,8.85805,4.66064,7.53283,211.74553,312.08252,9.16738,997.40686
2018-06-05-10:00:00,8.60757,4.43999,7.37248,211.05797,310.48178,12.21619,997.82227
2018-06-05-11:00:00,8.3571,4.21934,7.21214,210.32906,308.88101,15.265,998.23773
2018-06-05-12:00:00,8.10662,3.99869,7.0518,209.55521,307.28027,18.3138,998.65314
2018-06-05-13:00:00,7.83247,3.69293,6.90129,208.15155,306.15259,18.14476,998.99481
2018-06-05-14:00:00,7.55831,3.38717,6.75079,206.64496,305.0249,17.97571,999.33643
2018-06-05-15:00:00,7.28416,3.08141,6.60029,205.026,303.89722,17.80666,999.6781
2018-06-05-16:00:00,6.67898,2.82034,6.05428,204.97806,302.91541,18.15501,999.7804
2018-06-05-17:00:00,6.07379,2.55926,5.50827,204.92058,301.93359,18.50336,999.88269
2018-06-05-18:00:00,5.46861,2.29818,4.96226,204.85036,300.95178,18.8517,999.98499
2018-06-05-19:00:00,4.487,1.20394,4.08278,196.42981,299.15308,22.33512,1000.33917
2018-06-05-20:00:00,3.50539,0.10969,3.2033,181.96118,297.35434,25.81854,1000.6933
2018-06-05-21:00:00,2.52378,-0.98456,2.32381,157.0385,295.55563,29.30196,1001.04749
2018-06-05-22:00:00,2.48,-1.4187,1.31505,132.82863,297.13397,27.29139,1001.62854
2018-06-05-23:00:00,2.43622,-1.85284,0.30628,99.38633,298.71231,25.28083,1002.20959
2018-06-06-00:00:00,2.80517,-2.01673,-1.94981,45.96645,299.82465,21.78315,1003.30438
2018-06-06-01:00:00,3.32109,-2.66258,-1.90647,54.39648,301.58459,20.33184,1003.2323
2018-06-06-02:00:00,3.83701,-3.30844,-1.86312,60.61426,303.34454,18.88054,1003.16022
2018-06-06-03:00:00,4.35293,-3.95429,-1.81978,65.28796,305.10449,17.42923,1003.08813
2018-06-06-04:00:00,3.93613,-3.45495,-1.84497,61.89734,305.90967,17.16807,1002.99457
2018-06-06-05:00:00,3.51932,-2.9556,-1.87017,57.6762,306.71484,16.9069,1002.90106
2018-06-06-06:00:00,3.10251,-2.45625,-1.89537,52.34443,307.52002,16.64574,1002.8075
2018-06-06-07:00:00,3.09444,-2.0079,-2.22049,42.12177,306.85669,17.45384,1002.74689
2018-06-06-08:00:00,3.08636,-1.55954,-2.54561,31.49333,306.19336,18.26195,1002.68622
2018-06-06-09:00:00,3.07828,-1.11119,-2.87073,21.16022,305.53003,19.07005,1002.62561
2018-06-06-10:00:00,2.99913,-0.9413,-2.83929,18.34178,304.25708,21.32435,1003.0733
2018-06-06-11:00:00,2.91999,-0.77142,-2.80786,15.36215,302.98413,23.57865,1003.52106
2018-06-06-12:00:00,2.84084,-0.60153,-2.77642,12.22459,301.71118,25.83294,1003.96875
2018-06-06-13:00:00,3.16048,-1.60404,-2.24717,35.51942,301.35239,27.79346,1004.61603
2018-06-06-14:00:00,3.48012,-2.60655,-1.71791,56.61207,300.99356,29.75397,1005.26337
2018-06-06-15:00:00,3.79976,-3.60905,-1.18866,71.77045,300.63477,31.71449,1005.91064
2018-06-06-16:00:00,3.02705,-2.44737,-1.28458,62.30581,299.60269,35.09608,1006.55603
2018-06-06-17:00:00,2.25434,-1.28569,-1.3805,42.96332,298.57062,38.47767,1007.20148
2018-06-06-18:00:00,1.48163,-0.12401,-1.47643,4.8011,297.53854,41.85926,1007.84686
2018-06-06-19:00:00,1.86445,-0.92955,-1.21102,37.50871,297.41501,44.59403,1008.38123
2018-06-06-20:00:00,2.24728,-1.73508,-0.94562,61.40954,297.29147,47.32881,1008.91565
2018-06-06-21:00:00,2.6301,-2.54062,-0.68022,75.01129,297.16794,50.06359,1009.45001
2018-06-06-22:00:00,1.94681,-1.71226,-0.646,69.32956,297.51419,49.12923,1009.86707
2018-06-06-23:00:00,1.26351,-0.8839,-0.61178,55.31148,297.86041,48.19486,1010.28418
2018-06-07-00:00:00,1.66098,-0.91656,1.38519,146.50797,298.83783,56.63956,1009.9325
2018-06-07-01:00:00,1.28112,-0.58143,1.09473,152.02628,300.52908,49.47075,1009.64813
2018-06-07-02:00:00,0.90127,-0.2463,0.80426,162.97296,302.22034,42.30194,1009.36371
2018-06-07-03:00:00,0.52141,0.08883,0.51379,189.80885,303.91159,35.13313,1009.07935
2018-06-07-04:00:00,1.19963,0.44943,1.09994,202.22459,305.04459,30.24253,1008.27496
2018-06-07-05:00:00,1.87784,0.81003,1.68609,205.66046,306.17755,25.35194,1007.47064
2018-06-07-06:00:00,2.55606,1.17063,2.27224,207.25693,307.31055,20.46135,1006.66626
2018-06-07-07:00:00,3.29892,2.20015,2.24147,224.46707,307.05508,18.51864,1006.40814
2018-06-07-08:00:00,4.04179,3.22968,2.2107,235.60858,306.79965,16.57593,1006.14996
2018-06-07-09:00:00,4.78465,4.2592,2.17993,242.89592,306.54419,14.63322,1005.89185
2018-06-07-10:00:00,4.13734,3.76364,1.24403,251.70929,304.68848,18.62629,1006.47662
2018-06-07-11:00:00,3.49002,3.26809,0.30813,264.61377,302.83276,22.61937,1007.06146
2018-06-07-12:00:00,2.84271,2.77253,-0.62776,282.75793,300.97705,26.61245,1007.64624
2018-06-07-13:00:00,2.62574,1.34478,-0.94784,305.17734,299.32944,29.19773,1008.3725
2018-06-07-14:00:00,2.40877,-0.08297,-1.26792,3.74406,297.68179,31.78301,1009.09875
2018-06-07-15:00:00,2.1918,-1.51072,-1.58799,43.57153,296.03418,34.36829,1009.82501
2018-06-07-16:00:00,2.09567,-1.38194,-1.5706,41.34372,295.58707,40.36557,1010.03522
2018-06-07-17:00:00,1.99954,-1.25315,-1.55321,38.8969,295.13998,46.36285,1010.24542
2018-06-07-18:00:00,1.9034,-1.12436,-1.53582,36.20741,294.69287,52.36013,1010.45563
2018-06-07-19:00:00,1.74386,-0.59591,-1.47326,22.0226,293.89429,51.59359,1010.47919
2018-06-07-20:00:00,1.58432,-0.06747,-1.4107,2.73805,293.0957,50.82705,1010.50269
2018-06-07-21:00:00,1.42477,0.46098,-1.34814,341.12253,292.29712,50.06051,1010.52625
2018-06-07-22:00:00,1.48552,0.36891,-1.43087,345.54266,294.26498,45.18053,1010.81415
2018-06-07-23:00:00,1.54626,0.27685,-1.51361,349.63489,296.23285,40.30054,1011.10211
2018-06-08-00:00:00,1.19048,0.69289,-0.96807,324.40717,297.5903,37.3648,1011.45752
2018-06-08-01:00:00,0.95611,0.37881,-0.78497,334.23892,299.40842,33.2212,1011.05066
2018-06-08-02:00:00,0.72174,0.06473,-0.60186,353.86118,301.22656,29.07761,1010.64374
2018-06-08-03:00:00,0.48737,-0.24934,-0.41876,30.77107,303.04468,24.93401,1010.23688
2018-06-08-04:00:00,0.71517,-0.09429,0.10439,137.91122,303.79736,23.60959,1009.36981
2018-06-08-05:00:00,0.94296,0.06077,0.62754,185.53075,304.55005,22.28516,1008.50269
2018-06-08-06:00:00,1.17076,0.21582,1.1507,190.62277,305.30273,20.96074,1007.63562
2018-06-08-07:00:00,2.37535,0.3171,2.35254,187.67673,304.89755,21.30024,1007.16187
2018-06-08-08:00:00,3.57995,0.41839,3.55439,186.71338,304.49234,21.63974,1006.68811
2018-06-08-09:00:00,4.78454,0.51967,4.75624,186.23544,304.08716,21.97924,1006.21436
2018-06-08-10:00:00,4.49931,1.19855,4.16532,196.05286,302.83774,25.55965,1006.25061
2018-06-08-11:00:00,4.21408,1.87742,3.5744,207.7103,301.58829,29.14006,1006.28687
2018-06-08-12:00:00,3.92884,2.5563,2.98348,220.59052,300.33887,32.72047,1006.32312
2018-06-08-13:00:00,3.3202,1.96545,2.63946,216.67294,299.3082,36.77588,1006.26123
2018-06-08-14:00:00,2.71156,1.37461,2.29543,210.91504,298.2775,40.8313,1006.1994
2018-06-08-15:00:00,2.10292,0.78376,1.95141,201.88229,297.24683,44.88671,1006.13751
2018-06-08-16:00:00,1.98456,0.20854,1.79172,186.6387,296.68478,48.04238,1005.94025
2018-06-08-17:00:00,1.8662,-0.36669,1.63202,167.33684,296.12271,51.19806,1005.74292
2018-06-08-18:00:00,1.74784,-0.94191,1.47233,147.39117,295.56067,54.35373,1005.54565
2018-06-08-19:00:00,1.79505,-0.08219,1.29591,176.37119,295.3371,54.10593,1005.71167
2018-06-08-20:00:00,1.84225,0.77754,1.11949,214.7818,295.11353,53.85815,1005.87775
2018-06-08-21:00:00,1.88946,1.63727,0.94308,240.05785,294.88995,53.61036,1006.04376
2018-06-08-22:00:00,2.46691,1.56532,1.73913,221.98912,294.6174,55.65013,1006.7348
2018-06-08-23:00:00,3.04437,1.49337,2.53518,210.50061,294.34482,57.68991,1007.42584
2018-06-09-00:00:00,1.1891,1.16185,0.25308,257.71136,294.19537,64.49109,1007.92377
2018-06-09-01:00:00,1.20687,1.06874,0.46022,246.70224,294.55862,61.30914,1008.12482
2018-06-09-02:00:00,1.22464,0.97563,0.66736,235.62656,294.92191,58.12719,1008.32581
2018-06-09-03:00:00,1.24241,0.88251,0.8745,225.26126,295.28516,54.94525,1008.52686
2018-06-09-04:00:00,1.14744,0.44209,0.2993,235.90143,295.14404,55.81285,1008.14917
2018-06-09-05:00:00,1.05248,0.00168,-0.27589,359.65186,295.00293,56.68045,1007.77142
2018-06-09-06:00:00,0.95752,-0.43874,-0.85109,27.27138,294.86182,57.54805,1007.39374
2018-06-09-07:00:00,1.30371,-0.94573,-0.44094,65.00291,295.02994,55.54329,1006.9704
2018-06-09-08:00:00,1.6499,-1.45272,-0.0308,88.78542,295.19809,53.53854,1006.54712
2018-06-09-09:00:00,1.99609,-1.95971,0.37934,100.9553,295.36621,51.53378,1006.12378
2018-06-09-10:00:00,1.69483,-1.18991,-0.09204,85.57676,294.75562,54.40993,1006.04504
2018-06-09-11:00:00,1.39357,-0.42011,-0.56343,36.70946,294.14502,57.28609,1005.96625
2018-06-09-12:00:00,1.09231,0.34969,-1.03482,341.32892,293.53442,60.16224,1005.88751
2018-06-09-13:00:00,1.43786,-0.22957,-0.15181,56.52544,292.9769,62.72601,1005.98248
2018-06-09-14:00:00,1.78342,-0.80883,0.73121,132.11452,292.41934,65.28978,1006.07751
2018-06-09-15:00:00,2.12897,-1.38809,1.61423,139.30731,291.86182,67.85355,1006.17249
2018-06-09-16:00:00,1.83765,-1.28518,0.8627,123.87227,291.13989,70.73879,1005.79602
2018-06-09-17:00:00,1.54633,-1.18226,0.11118,95.37217,290.41797,73.62402,1005.41962
2018-06-09-18:00:00,1.255,-1.07935,-0.64035,59.32047,289.69604,76.50926,1005.04315
2018-06-09-19:00:00,1.32103,-0.57588,-0.88946,32.92113,289.47461,78.66095,1004.95355
2018-06-09-20:00:00,1.38706,-0.07242,-1.13857,3.63934,289.25317,80.81264,1004.86395
2018-06-09-21:00:00,1.45309,0.43105,-1.38768,342.74402,289.03174,82.96433,1004.77435
2018-06-09-22:00:00,1.10356,0.36073,-1.03825,340.84076,290.23096,76.89478,1004.85663
2018-06-09-23:00:00,0.75403,0.29041,-0.68881,337.13922,291.43018,70.82521,1004.93896
2018-06-10-00:00:00,0.6558,-0.27751,-0.59419,25.03435,293.16187,63.5766,1005.13623
2018-06-10-01:00:00,1.3011,-0.73661,0.26874,110.04388,294.64389,57.14271,1004.79102
2018-06-10-02:00:00,1.9464,-1.1957,1.13168,133.42422,296.12589,50.70882,1004.44586
2018-06-10-03:00:00,2.59169,-1.6548,1.99462,140.31976,297.60791,44.27494,1004.10065
2018-06-10-04:00:00,2.47142,-1.24358,2.06,148.88161,298.4523,41.78582,1003.39606
2018-06-10-05:00:00,2.35116,-0.83235,2.12539,158.61357,299.29672,39.2967,1002.69147
2018-06-10-06:00:00,2.23089,-0.42113,2.19078,169.11893,300.14111,36.80759,1001.98688
2018-06-10-07:00:00,2.78501,-1.10558,2.46243,155.82097,300.07455,37.12947,1001.67999
2018-06-10-08:00:00,3.33913,-1.79002,2.73407,146.78687,300.00797,37.45136,1001.37311
2018-06-10-09:00:00,3.89325,-2.47447,3.00572,140.53696,299.94141,37.77325,1001.06622
2018-06-10-10:00:00,3.70204,-2.20066,2.9634,143.40192,298.32437,45.25143,1001.63538
2018-06-10-11:00:00,3.51083,-1.92685,2.92109,146.58971,296.70737,52.72963,1002.20459
2018-06-10-12:00:00,3.31962,-1.65305,2.87877,150.1347,295.09033,60.20781,1002.77374
2018-06-10-13:00:00,2.83759,-1.09784,2.54368,156.65512,294.04745,65.70631,1003.10065
2018-06-10-14:00:00,2.35557,-0.54264,2.20859,166.19606,293.00455,71.2048,1003.42749
2018-06-10-15:00:00,1.87355,0.01256,1.8735,180.38405,291.96167,76.7033,1003.75439
2018-06-10-16:00:00,1.91406,-0.37,1.79591,168.35873,291.34579,80.37727,1003.59253
2018-06-10-17:00:00,1.95458,-0.75255,1.71831,156.34862,290.72989,84.05122,1003.4306
2018-06-10-18:00:00,1.9951,-1.1351,1.64072,145.32324,290.11401,87.72519,1003.26874
2018-06-10-19:00:00,1.62366,-1.04978,1.07577,135.70056,289.76602,90.26461,1003.39392
2018-06-10-20:00:00,1.25223,-0.96446,0.51082,117.90787,289.41806,92.80402,1003.51917
2018-06-10-21:00:00,0.8808,-0.87914,-0.05412,86.47709,289.07007,95.34344,1003.64435
2018-06-10-22:00:00,0.80899,-0.70123,0.15348,102.34566,290.40317,88.45251,1003.46808
2018-06-10-23:00:00,0.73717,-0.52332,0.36108,124.60475,291.73624,81.56158,1003.29187
2018-06-11-00:00:00,0.82727,0.35088,0.74918,205.09595,293.35461,74.62712,1003.24628
2018-06-11-01:00:00,1.18834,0.604,1.0177,210.68906,294.59024,68.84583,1002.73816
2018-06-11-02:00:00,1.54941,0.85713,1.28622,213.67924,295.8259,63.06455,1002.22998
2018-06-11-03:00:00,1.91048,1.11026,1.55475,215.53101,297.06152,57.28326,1001.72186
2018-06-11-04:00:00,1.92562,0.75574,1.68828,204.11508,298.85611,50.91702,1000.81793
2018-06-11-05:00:00,1.94077,0.40122,1.82182,192.41995,300.65073,44.55079,999.91394
2018-06-11-06:00:00,1.95591,0.0467,1.95535,181.36804,302.44531,38.18454,999.01001
2018-06-11-07:00:00,2.81939,0.73996,2.64303,195.6405,302.3313,38.93105,998.60895
2018-06-11-08:00:00,3.68287,1.43322,3.3307,203.28258,302.21729,39.67756,998.20795
2018-06-11-09:00:00,4.54635,2.12649,4.01837,207.88742,302.10327,40.42406,997.80688
2018-06-11-10:00:00,4.00142,1.86153,3.54199,207.7247,300.86044,44.27055,998.185
2018-06-11-11:00:00,3.4565,1.59658,3.0656,207.51067,299.61758,48.11705,998.56311
2018-06-11-12:00:00,2.91158,1.33162,2.58922,207.21652,298.37476,51.96354,998.94122
2018-06-11-13:00:00,2.78052,0.65287,2.53209,194.45818,297.35425,55.9335,999.21771
2018-06-11-14:00:00,2.64947,-0.02588,2.47497,179.40096,296.33374,59.90347,999.49414
2018-06-11-15:00:00,2.51842,-0.70463,2.41784,163.75238,295.31323,63.87343,999.77063
2018-06-11-16:00:00,2.19476,-0.76889,2.03211,159.27481,294.59253,68.57416,999.78497
2018-06-11-17:00:00,1.87111,-0.83316,1.64638,153.15817,293.87183,73.27489,999.79938
2018-06-11-18:00:00,1.54745,-0.89742,1.26065,144.55405,293.15112,77.97562,999.81372
2018-06-11-19:00:00,1.48712,-0.98527,0.60021,121.34918,292.51379,82.20019,1000.07642
2018-06-11-20:00:00,1.42679,-1.07313,-0.06022,86.78806,291.87646,86.42474,1000.33917
2018-06-11-21:00:00,1.36646,-1.16098,-0.72066,58.17078,291.23914,90.64931,1000.60187
2018-06-11-22:00:00,1.61373,-1.11229,0.13553,96.94708,292.98868,82.49988,1000.63562
2018-06-11-23:00:00,1.861,-1.06359,0.99172,132.99706,294.73825,74.35046,1000.66937
2018-06-12-00:00:00,1.05031,-0.38522,-0.97711,21.51637,295.42743,72.51469,1000.745
2018-06-12-01:00:00,1.19207,-0.442,-0.19573,66.11435,297.25671,65.87352,1000.4458
2018-06-12-02:00:00,1.33384,-0.49878,0.58565,139.58005,299.086,59.23236,1000.14667
