DateTime,V,VX,VY,DIR,TP,RH,SLP
2018-03-04-15:00:00,2.62571,2.14046,1.5208,234.60614,272.17554,48.4605,1026.41748
2018-03-04-16:00:00,2.44799,0.83259,1.37889,211.12405,271.47507,50.93303,1026.6925
2018-03-04-17:00:00,2.27027,-0.47528,1.23697,158.98177,270.77457,53.40556,1026.96753
2018-03-04-18:00:00,2.09255,-1.78315,1.09506,121.55478,270.0741,55.87809,1027.24255
2018-03-04-19:00:00,1.72991,-1.3068,0.41666,107.68436,269.5824,58.0489,1027.45251
2018-03-04-20:00:00,1.36726,-0.83046,-0.26174,72.50648,269.0907,60.21972,1027.6626
2018-03-04-21:00:00,1.00462,-0.35411,-0.94014,20.63939,268.599,62.39054,1027.87256
2018-03-04-22:00:00,1.19318,-0.74185,-0.49194,56.45049,269.36511,59.33254,1028.8042
2018-03-04-23:00:00,1.38175,-1.12959,-0.04375,87.78214,270.1312,56.27454,1029.73584
2018-03-05-00:00:00,1.90963,-1.6383,0.98114,120.91637,271.42273,53.4706,1031.35059
2018-03-05-01:00:00,2.49936,-1.76939,1.67642,133.45451,273.39526,42.05667,1031.61353
2018-03-05-02:00:00,3.08908,-1.90048,2.3717,141.29433,275.3678,30.64274,1031.87646
2018-03-05-03:00:00,3.67881,-2.03157,3.06699,146.47957,277.34033,19.22881,1032.1394
2018-03-05-04:00:00,3.99387,-1.38459,3.58569,158.88628,278.13403,20.62651,1031.22046
2018-03-05-05:00:00,4.30894,-0.73761,4.1044,169.81197,278.92773,22.02421,1030.30139
2018-03-05-06:00:00,4.624,-0.09064,4.62311,178.87685,279.72144,23.42192,1029.38245
2018-03-05-07:00:00,4.53073,-0.05562,4.53013,179.29652,279.44034,23.34808,1028.98413
2018-03-05-08:00:00,4.43746,-0.02061,4.43714,179.73387,279.15921,23.27425,1028.58582
2018-03-05-09:00:00,4.34419,0.0144,4.34416,180.18997,278.87811,23.20041,1028.1875
2018-03-05-10:00:00,4.38929,-0.62569,4.24739,171.61992,276.88565,28.96242,1028.9856
2018-03-05-11:00:00,4.4344,-1.26578,4.15061,163.04021,274.89316,34.72443,1029.78381
2018-03-05-12:00:00,4.4795,-1.90588,4.05383,154.81979,272.9007,40.48644,1030.58191
2018-03-05-13:00:00,3.41089,-1.68883,2.62964,147.29027,271.71408,48.9062,1031.29004
2018-03-05-14:00:00,2.34227,-1.47178,1.20544,129.3188,270.5275,57.32595,1031.99817
2018-03-05-15:00:00,1.27366,-1.25473,-0.21875,80.11041,269.34088,65.74571,1032.7063
2018-03-05-16:00:00,1.40239,-1.35586,-0.33656,76.0593,268.97952,68.66686,1032.81921
2018-03-05-17:00:00,1.53113,-1.45699,-0.45438,72.6794,268.61819,71.58801,1032.93213
2018-03-05-18:00:00,1.65986,-1.55812,-0.57219,69.83521,268.25684,74.50916,1033.04504
2018-03-05-19:00:00,1.44544,-1.29667,-0.60124,65.12391,268.21472,75.49557,1032.97131
2018-03-05-20:00:00,1.23101,-1.03522,-0.63028,58.66528,268.17264,76.48196,1032.89746
2018-03-05-21:00:00,1.01659,-0.77377,-0.65933,49.56569,268.13052,77.46837,1032.82373
2018-03-05-22:00:00,1.14527,-0.90771,-0.69461,52.57561,268.81677,73.47585,1033.64648
2018-03-05-23:00:00,1.27396,-1.04164,-0.72988,54.98095,269.50302,69.48331,1034.46912
2018-03-06-00:00:00,1.70031,-1.2117,-1.19283,45.44977,270.22656,65.40387,1036.32129
2018-03-06-01:00:00,1.95346,-1.41485,-0.24406,80.21266,271.89902,59.02869,1036.52625
2018-03-06-02:00:00,2.20662,-1.61799,0.7047,113.5349,273.5715,52.6535,1036.73132
2018-03-06-03:00:00,2.45977,-1.82114,1.65346,132.23705,275.24396,46.27832,1036.93628
2018-03-06-04:00:00,2.87353,-1.83184,2.17018,139.83235,276.20694,41.46173,1035.91357
2018-03-06-05:00:00,3.28728,-1.84254,2.68689,145.55957,277.16995,36.64515,1034.89087
2018-03-06-06:00:00,3.70103,-1.85324,3.20361,149.95128,278.13293,31.82856,1033.86816
2018-03-06-07:00:00,4.15165,-1.67292,3.76225,156.02725,277.89758,32.82367,1033.34814
2018-03-06-08:00:00,4.60227,-1.49259,4.32088,160.94321,277.6622,33.81877,1032.82812
2018-03-06-09:00:00,5.05289,-1.31227,4.87952,164.94739,277.42685,34.81388,1032.30811
2018-03-06-10:00:00,4.86596,-1.45371,4.63396,162.58299,276.07687,35.50432,1033.06165
2018-03-06-11:00:00,4.67903,-1.59515,4.38841,160.02426,274.72687,36.19476,1033.81519
2018-03-06-12:00:00,4.4921,-1.73659,4.14285,157.25772,273.37689,36.8852,1034.56873
2018-03-06-13:00:00,3.75035,-1.32038,3.49981,159.32988,272.81152,39.94202,1034.62537
2018-03-06-14:00:00,3.00861,-0.90418,2.85676,162.43721,272.24615,42.99883,1034.68213
2018-03-06-15:00:00,2.26686,-0.48797,2.21371,167.56903,271.68079,46.05565,1034.73877
2018-03-06-16:00:00,2.11902,-0.81011,1.84239,156.26466,271.1088,48.84224,1034.28528
2018-03-06-17:00:00,1.97119,-1.13224,1.47106,142.41531,270.53677,51.62883,1033.83167
2018-03-06-18:00:00,1.82335,-1.45438,1.09973,127.09485,269.96478,54.41542,1033.37817
2018-03-06-19:00:00,1.71647,-1.46402,0.81337,119.05545,269.57495,52.75315,1032.29456
2018-03-06-20:00:00,1.60959,-1.47367,0.52702,109.67822,269.18512,51.09089,1031.21106
2018-03-06-21:00:00,1.50271,-1.48332,0.24066,99.21568,268.79529,49.42862,1030.12744
2018-03-06-22:00:00,1.32639,-1.30113,0.07184,93.16044,269.23099,49.48106,1029.79639
2018-03-06-23:00:00,1.15006,-1.11894,-0.09697,85.04674,269.66672,49.53349,1029.46545
2018-03-07-00:00:00,0.95454,-0.90034,0.31709,109.40196,269.50824,47.46257,1029.13062
2018-03-07-01:00:00,1.03994,-0.78117,0.57214,126.21967,270.72263,48.78981,1028.51807
