DateTime,SPD10,DIR10,SLP,T2,RH2
2018-03-05-11:00:00,8.05,160,1024.2,276.75,28
2018-03-05-12:00:00,6.72,160,1025.5,275.55,32
2018-03-05-13:00:00,5.48,164,1026.3,274.35,39
2018-03-05-14:00:00,3.75,141,1027.1,273.75,43
2018-03-05-15:00:00,3.09,93,1027.4,271.95,51
2018-03-05-16:00:00,3.27,103,1027.9,271.05,58
2018-03-05-17:00:00,4.28,121,1028.2,271.35,56
2018-03-05-18:00:00,2.49,131,1028.4,271.15,58
2018-03-05-19:00:00,1.68,105,1028.1,270.35,61
2018-03-05-20:00:00,1.67,87,1028.3,269.95,63
2018-03-05-21:00:00,2.47,93,1028.9,269.65,66
2018-03-05-22:00:00,1.44,86,1029.9,269.65,66
2018-03-05-23:00:00,2.32,107,1031,269.25,69
2018-03-06-00:00:00,1.46,98,1032.1,270.65,66
2018-03-06-01:00:00,4.59,113,1032.7,272.05,58
2018-03-06-02:00:00,4.14,142,1033.2,273.15,55
2018-03-06-03:00:00,3.29,170,1033.1,274.45,48
2018-03-06-04:00:00,4.43,137,1032.3,275.25,41
2018-03-06-05:00:00,3.33,126,1031,276.15,35
2018-03-06-06:00:00,5.12,181,1030,277.15,30
2018-03-06-07:00:00,5.56,174,1029.3,277.95,26
2018-03-06-08:00:00,5.66,152,1028.8,277.55,25
2018-03-06-09:00:00,6.72,153,1028.6,277.35,26
2018-03-06-10:00:00,8.36,148,1029.3,276.05,31
2018-03-06-11:00:00,8.35,149,1029.7,274.35,33
2018-03-06-12:00:00,6.41,144,1029.9,273.85,27
2018-03-06-13:00:00,6.09,159,1030.1,273.65,29
2018-03-06-14:00:00,4.99,158,1029.9,273.25,33
2018-03-06-15:00:00,4.51,147,1029.7,272.65,41
2018-03-06-16:00:00,4.76,144,1029,272.05,41
2018-03-06-17:00:00,3.49,137,1028.6,272.05,43
2018-03-06-18:00:00,3.84,138,1028.2,271.75,45
2018-03-06-19:00:00,3.55,131,1027.4,271.35,42
2018-03-06-20:00:00,2.94,108,1026.3,270.35,40
2018-03-06-21:00:00,2.84,143,1025.9,270.85,37
2018-03-06-22:00:00,3.99,122,1024.9,270.65,37
2018-03-06-23:00:00,3.19,123,1024.6,270.45,40
2018-03-07-00:00:00,3.74,153,1024.7,271.05,39
2018-03-07-01:00:00,3.06,142,1024.9,271.45,40
2018-03-07-02:00:00,2.59,141,1024.3,271.75,41
2018-03-07-03:00:00,1.93,118,1023.3,272.55,43
2018-03-07-04:00:00,2.31,155,1022.2,273.95,43
