DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-04-00:00:00,4.64000,160.00000,1015.20000,279.55000,67.00000,273.88000
2018-03-04-01:00:00,4.89000,158.00000,1016.20000,279.35000,53.00000,270.48000
2018-03-04-02:00:00,5.63000,163.00000,1016.90000,279.65000,47.00000,269.15000
2018-03-04-03:00:00,5.35000,181.00000,1017.70000,280.05000,36.00000,265.99000
2018-03-04-04:00:00,5.54000,150.00000,1017.40000,279.55000,34.00000,264.79000
2018-03-04-05:00:00,5.67000,159.00000,1016.70000,279.55000,32.00000,264.01000
2018-03-04-06:00:00,5.95000,154.00000,1016.20000,279.95000,30.00000,263.53000
2018-03-04-07:00:00,5.63000,143.00000,1016.00000,279.85000,30.00000,263.45000
2018-03-04-08:00:00,6.12000,141.00000,1016.20000,279.05000,30.00000,262.74000
2018-03-04-09:00:00,4.83000,140.00000,1016.60000,278.25000,31.00000,262.44000
2018-03-04-10:00:00,4.96000,137.00000,1017.40000,277.75000,32.00000,262.40000
2018-03-04-11:00:00,4.55000,138.00000,1018.90000,277.35000,32.00000,262.05000
2018-03-04-12:00:00,3.05000,153.00000,1020.10000,276.45000,34.00000,262.01000
2018-03-04-13:00:00,4.28000,148.00000,1021.10000,276.35000,34.00000,261.92000
2018-03-04-14:00:00,2.54000,97.00000,1021.50000,274.15000,41.00000,262.30000
2018-03-04-15:00:00,1.86000,123.00000,1021.60000,274.25000,41.00000,262.39000
2018-03-04-16:00:00,2.43000,97.00000,1022.00000,273.15000,44.00000,262.28000
2018-03-04-17:00:00,1.44000,48.00000,1022.30000,271.65000,51.00000,263.69000
2018-03-04-18:00:00,2.09000,81.00000,1022.70000,272.75000,47.00000,263.79000
2018-03-04-19:00:00,2.22000,1.00000,1022.90000,271.65000,49.00000,263.23000
2018-03-04-20:00:00,2.34000,7.00000,1023.30000,270.25000,55.00000,263.23000
2018-03-04-21:00:00,1.38000,1.00000,1024.10000,270.65000,58.00000,264.22000
2018-03-04-22:00:00,1.34000,291.00000,1024.90000,271.15000,57.00000,264.50000
2018-03-04-23:00:00,1.16000,352.00000,1025.70000,269.35000,63.00000,263.93000
2018-03-05-00:00:00,1.04000,350.00000,1026.60000,272.85000,54.00000,265.48000
2018-03-05-01:00:00,2.41000,103.00000,1027.20000,274.65000,43.00000,263.37000
2018-03-05-02:00:00,3.44000,126.00000,1027.50000,275.65000,35.00000,261.66000
2018-03-05-03:00:00,4.47000,159.00000,1027.30000,277.55000,30.00000,261.41000
2018-03-05-04:00:00,4.83000,137.00000,1026.60000,278.95000,28.00000,261.77000
2018-03-05-05:00:00,5.45000,176.00000,1025.50000,279.85000,24.00000,260.61000
2018-03-05-06:00:00,5.86000,180.00000,1024.30000,280.75000,18.00000,257.81000
2018-03-05-07:00:00,5.22000,190.00000,1023.50000,281.15000,18.00000,258.15000
2018-03-05-08:00:00,6.61000,179.00000,1023.20000,281.25000,19.00000,258.90000
2018-03-05-09:00:00,7.68000,163.00000,1022.80000,280.65000,21.00000,259.63000
2018-03-05-10:00:00,6.94000,176.00000,1023.00000,279.55000,23.00000,259.82000
2018-03-05-11:00:00,8.05000,160.00000,1024.20000,276.75000,28.00000,259.83000
2018-03-05-12:00:00,6.72000,160.00000,1025.50000,275.55000,32.00000,260.44000
2018-03-05-13:00:00,5.48000,164.00000,1026.30000,274.35000,39.00000,261.85000
2018-03-05-14:00:00,3.75000,141.00000,1027.10000,273.75000,43.00000,262.54000
2018-03-05-15:00:00,3.09000,93.00000,1027.40000,271.95000,51.00000,263.97000
2018-03-05-16:00:00,3.27000,103.00000,1027.90000,271.05000,58.00000,264.60000
2018-03-05-17:00:00,4.28000,121.00000,1028.20000,271.35000,56.00000,264.48000
2018-03-05-18:00:00,2.49000,131.00000,1028.40000,271.15000,58.00000,264.70000
2018-03-05-19:00:00,1.68000,105.00000,1028.10000,270.35000,61.00000,264.52000
2018-03-05-20:00:00,1.67000,87.00000,1028.30000,269.95000,63.00000,264.51000
2018-03-05-21:00:00,2.47000,93.00000,1028.90000,269.65000,66.00000,264.76000
2018-03-05-22:00:00,1.44000,86.00000,1029.90000,269.65000,66.00000,264.76000
2018-03-05-23:00:00,2.32000,107.00000,1031.00000,269.25000,69.00000,264.88000
2018-03-06-00:00:00,1.46000,98.00000,1032.10000,270.65000,66.00000,265.72000
2018-03-06-01:00:00,4.59000,113.00000,1032.70000,272.05000,58.00000,265.56000
2018-03-06-02:00:00,4.14000,142.00000,1033.20000,273.15000,55.00000,265.15000
2018-03-06-03:00:00,3.29000,170.00000,1033.10000,274.45000,48.00000,264.60000
2018-03-06-04:00:00,4.43000,137.00000,1032.30000,275.25000,41.00000,263.31000
2018-03-06-05:00:00,3.33000,126.00000,1031.00000,276.15000,35.00000,262.11000
2018-03-06-06:00:00,5.12000,181.00000,1030.00000,277.15000,30.00000,261.05000
2018-03-06-07:00:00,5.56000,174.00000,1029.30000,277.95000,26.00000,259.96000
2018-03-06-08:00:00,5.66000,152.00000,1028.80000,277.55000,25.00000,259.12000
2018-03-06-09:00:00,6.72000,153.00000,1028.60000,277.35000,26.00000,259.44000
2018-03-06-10:00:00,8.36000,148.00000,1029.30000,276.05000,31.00000,260.49000
2018-03-06-11:00:00,8.35000,149.00000,1029.70000,274.35000,33.00000,259.75000
2018-03-06-12:00:00,6.41000,144.00000,1029.90000,273.85000,27.00000,256.83000
2018-03-06-13:00:00,6.09000,159.00000,1030.10000,273.65000,29.00000,257.53000
2018-03-06-14:00:00,4.99000,158.00000,1029.90000,273.25000,33.00000,258.76000
2018-03-06-15:00:00,4.51000,147.00000,1029.70000,272.65000,41.00000,262.13000
2018-03-06-16:00:00,4.76000,144.00000,1029.00000,272.05000,41.00000,261.58000
2018-03-06-17:00:00,3.49000,137.00000,1028.60000,272.05000,43.00000,262.12000
2018-03-06-18:00:00,3.84000,138.00000,1028.20000,271.75000,45.00000,262.36000
2018-03-06-19:00:00,3.55000,131.00000,1027.40000,271.35000,42.00000,261.20000
2018-03-06-20:00:00,2.94000,108.00000,1026.30000,270.35000,40.00000,259.73000
2018-03-06-21:00:00,2.84000,143.00000,1025.90000,270.85000,37.00000,259.33000
2018-03-06-22:00:00,3.99000,122.00000,1024.90000,270.65000,37.00000,259.14000
2018-03-06-23:00:00,3.19000,123.00000,1024.60000,270.45000,40.00000,259.83000
2018-03-07-00:00:00,3.74000,153.00000,1024.70000,271.05000,39.00000,260.10000
2018-03-07-01:00:00,3.06000,142.00000,1024.90000,271.45000,40.00000,260.75000
2018-03-07-02:00:00,2.59000,141.00000,1024.30000,271.75000,41.00000,261.30000
2018-03-07-03:00:00,1.93000,118.00000,1023.30000,272.55000,43.00000,262.58000
2018-03-07-04:00:00,2.31000,155.00000,1022.20000,273.95000,43.00000,262.72000
2018-03-07-05:00:00,1.87000,132.00000,1021.20000,273.95000,45.00000,263.31000
2018-03-07-06:00:00,2.09000,11.00000,1020.60000,274.65000,44.00000,263.66000
2018-03-07-07:00:00,0.90000,227.00000,1020.00000,274.75000,43.00000,263.46000
2018-03-07-08:00:00,1.39000,119.00000,1019.70000,274.95000,44.00000,263.94000
2018-03-07-09:00:00,2.66000,161.00000,1019.70000,275.55000,44.00000,264.49000
2018-03-07-10:00:00,1.93000,94.00000,1020.80000,274.95000,45.00000,264.23000
2018-03-07-11:00:00,2.68000,56.00000,1022.40000,274.05000,48.00000,264.23000
2018-03-07-12:00:00,2.09000,51.00000,1023.80000,273.25000,50.00000,264.01000
2018-03-07-13:00:00,0.81000,32.00000,1024.90000,272.25000,55.00000,265.13000
2018-03-07-14:00:00,2.40000,326.00000,1026.20000,272.45000,52.00000,264.67000
2018-03-07-15:00:00,2.93000,21.00000,1026.90000,271.15000,56.00000,264.29000
2018-03-07-16:00:00,2.53000,11.00000,1027.60000,271.15000,57.00000,264.50000
2018-03-07-17:00:00,2.75000,1.00000,1028.20000,271.35000,53.00000,263.85000
2018-03-07-18:00:00,1.94000,357.00000,1028.50000,270.15000,53.00000,262.71000
2018-03-07-19:00:00,2.70000,352.00000,1028.60000,269.75000,51.00000,261.90000
2018-03-07-20:00:00,3.22000,18.00000,1028.70000,269.95000,46.00000,260.92000
2018-03-07-21:00:00,4.39000,34.00000,1029.10000,270.75000,37.00000,259.23000
2018-03-07-22:00:00,4.84000,21.00000,1029.30000,270.45000,34.00000,258.03000
2018-03-07-23:00:00,3.90000,24.00000,1030.10000,270.45000,32.00000,257.36000
2018-03-08-00:00:00,4.80000,36.00000,1030.50000,272.35000,27.00000,257.21000
2018-03-08-01:00:00,5.14000,41.00000,1030.90000,274.25000,24.00000,255.75000
2018-03-08-02:00:00,2.34000,33.00000,1031.00000,275.95000,21.00000,255.61000
2018-03-08-03:00:00,1.08000,254.00000,1030.60000,278.05000,19.00000,256.19000
2018-03-08-04:00:00,1.89000,176.00000,1029.50000,278.05000,20.00000,256.81000
2018-03-08-05:00:00,3.05000,175.00000,1028.20000,279.45000,18.00000,256.71000
2018-03-08-06:00:00,4.32000,166.00000,1026.90000,280.35000,17.00000,256.78000
2018-03-08-07:00:00,5.60000,185.00000,1026.30000,280.25000,21.00000,259.29000
2018-03-08-08:00:00,5.50000,185.00000,1025.80000,279.95000,25.00000,261.21000
2018-03-08-09:00:00,4.84000,203.00000,1025.60000,279.75000,27.00000,262.01000
2018-03-08-10:00:00,5.77000,185.00000,1024.70000,279.15000,28.00000,261.95000
2018-03-08-11:00:00,4.44000,176.00000,1025.30000,277.95000,32.00000,262.58000
2018-03-08-12:00:00,4.63000,177.00000,1025.80000,277.45000,34.00000,262.91000
2018-03-08-13:00:00,4.48000,168.00000,1026.20000,276.65000,35.00000,262.56000
2018-03-08-14:00:00,3.89000,155.00000,1026.00000,276.35000,34.00000,261.92000
2018-03-08-15:00:00,4.01000,129.00000,1025.60000,275.35000,37.00000,262.09000
2018-03-08-16:00:00,3.91000,113.00000,1025.20000,272.45000,49.00000,263.98000
2018-03-08-17:00:00,3.87000,113.00000,1025.10000,272.15000,52.00000,264.39000
2018-03-08-18:00:00,4.23000,108.00000,1024.60000,270.95000,60.00000,264.90000
2018-03-08-19:00:00,2.89000,85.00000,1024.00000,269.55000,65.00000,264.48000
2018-03-08-20:00:00,3.12000,94.00000,1023.80000,269.65000,63.00000,264.22000
2018-03-08-21:00:00,2.60000,91.00000,1023.30000,268.95000,67.00000,264.25000
2018-03-08-22:00:00,1.87000,95.00000,1022.80000,268.85000,67.00000,264.16000
2018-03-08-23:00:00,1.74000,80.00000,1022.50000,268.75000,69.00000,264.40000
2018-03-09-00:00:00,1.50000,79.00000,1022.60000,270.55000,62.00000,264.90000
2018-03-09-01:00:00,1.74000,141.00000,1022.30000,272.45000,50.00000,264.22000
2018-03-09-02:00:00,1.83000,85.00000,1021.30000,273.55000,45.00000,262.94000
2018-03-09-03:00:00,1.31000,99.00000,1020.10000,275.45000,39.00000,262.85000
2018-03-09-04:00:00,2.33000,131.00000,1018.70000,276.85000,34.00000,262.37000
2018-03-09-05:00:00,1.38000,164.00000,1017.20000,278.55000,33.00000,263.51000
2018-03-09-06:00:00,3.60000,158.00000,1015.50000,280.65000,30.00000,264.15000
2018-03-09-07:00:00,3.72000,167.00000,1014.20000,281.95000,29.00000,264.87000
2018-03-09-08:00:00,2.63000,197.00000,1013.40000,282.15000,29.00000,265.04000
2018-03-09-09:00:00,2.54000,184.00000,1013.10000,282.05000,29.00000,264.95000
