DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-01-00:00:00,4.65000,351.00000,1019.50000,273.55000,21.00000,253.55000
2018-03-01-01:00:00,5.29000,340.00000,1019.50000,275.55000,19.00000,254.06000
2018-03-01-02:00:00,3.27000,331.00000,1019.20000,276.55000,17.00000,253.58000
2018-03-01-03:00:00,4.81000,316.00000,1018.50000,277.85000,16.00000,253.95000
2018-03-01-04:00:00,4.21000,335.00000,1017.60000,279.65000,13.00000,252.98000
2018-03-01-05:00:00,4.56000,318.00000,1016.20000,279.75000,12.00000,252.11000
2018-03-01-06:00:00,4.81000,317.00000,1015.10000,281.65000,9.00000,250.28000
2018-03-01-07:00:00,5.46000,210.00000,1014.40000,281.25000,10.00000,251.19000
2018-03-01-08:00:00,4.42000,185.00000,1013.90000,281.35000,11.00000,252.38000
2018-03-01-09:00:00,5.13000,211.00000,1013.50000,280.95000,13.00000,254.04000
2018-03-01-10:00:00,6.25000,190.00000,1013.40000,279.95000,15.00000,254.93000
2018-03-01-11:00:00,5.64000,188.00000,1013.70000,279.05000,17.00000,255.68000
2018-03-01-12:00:00,5.72000,182.00000,1013.90000,276.85000,20.00000,255.79000
2018-03-01-13:00:00,2.78000,159.00000,1013.80000,276.45000,22.00000,256.60000
2018-03-01-14:00:00,3.04000,156.00000,1013.80000,275.95000,23.00000,256.71000
2018-03-01-15:00:00,2.56000,133.00000,1013.30000,274.45000,26.00000,256.90000
2018-03-01-16:00:00,3.25000,134.00000,1012.70000,273.35000,35.00000,259.58000
2018-03-01-17:00:00,2.27000,108.00000,1012.30000,272.35000,38.00000,261.00000
2018-03-01-18:00:00,2.71000,126.00000,1012.00000,272.55000,37.00000,260.88000
2018-03-01-19:00:00,2.69000,134.00000,1011.50000,272.55000,34.00000,259.94000
2018-03-01-20:00:00,1.79000,105.00000,1010.70000,272.05000,37.00000,260.43000
2018-03-01-21:00:00,1.90000,99.00000,1010.70000,272.05000,41.00000,261.58000
2018-03-01-22:00:00,2.15000,98.00000,1009.80000,271.95000,44.00000,262.29000
2018-03-01-23:00:00,1.53000,101.00000,1009.10000,271.55000,48.00000,262.90000
2018-03-02-00:00:00,1.62000,100.00000,1009.30000,272.85000,45.00000,263.38000
2018-03-02-01:00:00,1.92000,91.00000,1009.20000,274.75000,40.00000,262.54000
2018-03-02-02:00:00,1.41000,157.00000,1008.40000,275.55000,35.00000,261.57000
2018-03-02-03:00:00,1.82000,95.00000,1007.80000,277.65000,31.00000,261.91000
2018-03-02-04:00:00,2.08000,174.00000,1006.70000,278.35000,29.00000,261.69000
2018-03-02-05:00:00,1.44000,145.00000,1005.10000,279.95000,27.00000,262.19000
2018-03-02-06:00:00,3.44000,185.00000,1003.70000,281.35000,25.00000,262.43000
2018-03-02-07:00:00,2.58000,195.00000,1003.20000,280.85000,25.00000,262.00000
2018-03-02-08:00:00,1.28000,176.00000,1002.50000,281.55000,24.00000,262.09000
2018-03-02-09:00:00,1.88000,153.00000,1002.10000,281.55000,24.00000,262.09000
2018-03-02-10:00:00,0.59000,67.00000,1002.30000,280.25000,29.00000,263.36000
2018-03-02-11:00:00,1.41000,70.00000,1002.50000,277.75000,35.00000,263.55000
2018-03-02-12:00:00,0.90000,36.00000,1002.70000,276.15000,42.00000,264.44000
2018-03-02-13:00:00,2.87000,97.00000,1002.80000,277.15000,38.00000,264.06000
2018-03-02-14:00:00,1.07000,72.00000,1002.70000,277.65000,43.00000,266.12000
2018-03-02-15:00:00,1.31000,52.00000,1002.30000,275.75000,51.00000,266.60000
2018-03-02-16:00:00,0.44000,94.00000,1001.70000,275.75000,57.00000,268.07000
2018-03-02-17:00:00,1.43000,321.00000,1001.40000,274.95000,54.00000,266.60000
2018-03-02-18:00:00,0.56000,33.00000,1000.90000,272.75000,66.00000,267.74000
2018-03-02-19:00:00,1.02000,353.00000,1000.10000,272.35000,70.00000,268.05000
2018-03-02-20:00:00,1.25000,12.00000,999.80000,272.35000,67.00000,267.53000
2018-03-02-21:00:00,1.93000,334.00000,999.80000,272.05000,68.00000,267.42000
2018-03-02-22:00:00,1.35000,352.00000,999.70000,271.85000,67.00000,267.05000
2018-03-02-23:00:00,2.00000,342.00000,1000.30000,272.35000,63.00000,266.81000
2018-03-03-00:00:00,3.09000,317.00000,1001.20000,274.65000,53.00000,266.08000
2018-03-03-01:00:00,1.95000,350.00000,1001.40000,276.45000,47.00000,266.18000
2018-03-03-02:00:00,1.47000,68.00000,1001.40000,279.45000,43.00000,267.78000
2018-03-03-03:00:00,1.37000,43.00000,1001.50000,281.15000,53.00000,272.17000
2018-03-03-04:00:00,1.52000,180.00000,1001.60000,281.65000,53.00000,272.64000
2018-03-03-05:00:00,1.19000,171.00000,1001.70000,282.25000,53.00000,273.20000
2018-03-03-06:00:00,2.99000,92.00000,1000.60000,282.55000,52.00000,273.22000
2018-03-03-07:00:00,2.37000,98.00000,1001.30000,282.55000,56.00000,274.25000
2018-03-03-08:00:00,0.92000,104.00000,1002.80000,282.15000,56.00000,273.87000
2018-03-03-09:00:00,0.78000,147.00000,1003.60000,281.85000,58.00000,274.07000
2018-03-03-10:00:00,1.53000,12.00000,1004.90000,281.25000,62.00000,274.43000
2018-03-03-11:00:00,1.17000,31.00000,1005.90000,281.35000,65.00000,275.19000
2018-03-03-12:00:00,0.59000,156.00000,1006.20000,279.55000,65.00000,273.46000
2018-03-03-13:00:00,0.79000,244.00000,1007.00000,279.45000,72.00000,274.79000
2018-03-03-14:00:00,0.42000,263.00000,1008.30000,279.45000,68.00000,273.99000
2018-03-03-15:00:00,1.31000,312.00000,1009.30000,278.75000,75.00000,274.68000
2018-03-03-16:00:00,1.43000,3.00000,1009.80000,278.85000,68.00000,273.42000
2018-03-03-17:00:00,1.97000,59.00000,1010.40000,283.45000,17.00000,259.37000
2018-03-03-18:00:00,3.53000,46.00000,1011.50000,283.95000,13.00000,256.49000
2018-03-03-19:00:00,3.08000,34.00000,1012.40000,283.65000,12.00000,255.28000
2018-03-03-20:00:00,3.66000,36.00000,1012.90000,282.75000,13.00000,255.51000
2018-03-03-21:00:00,4.72000,22.00000,1013.30000,282.15000,14.00000,255.91000
2018-03-03-22:00:00,3.04000,61.00000,1014.10000,281.35000,15.00000,256.09000
2018-03-03-23:00:00,2.56000,144.00000,1015.20000,279.65000,53.00000,270.77000
2018-03-04-00:00:00,2.86000,168.00000,1015.90000,278.85000,74.00000,274.59000
2018-03-04-01:00:00,3.64000,164.00000,1017.00000,279.05000,55.00000,270.70000
2018-03-04-02:00:00,3.69000,158.00000,1017.70000,279.45000,48.00000,269.24000
2018-03-04-03:00:00,5.57000,161.00000,1018.50000,280.05000,40.00000,267.37000
2018-03-04-04:00:00,4.00000,146.00000,1018.20000,279.15000,37.00000,265.53000
2018-03-04-05:00:00,4.23000,158.00000,1017.50000,279.95000,34.00000,265.15000
