DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-04-00:00:00,4.09000,162.00000,1015.00000,279.65000,69.00000,274.39000
2018-03-04-01:00:00,3.91000,173.00000,1016.00000,279.55000,58.00000,271.90000
2018-03-04-02:00:00,4.73000,178.00000,1016.80000,279.75000,50.00000,270.07000
2018-03-04-03:00:00,4.05000,205.00000,1017.50000,279.75000,40.00000,267.10000
2018-03-04-04:00:00,4.70000,178.00000,1017.20000,280.05000,37.00000,266.34000
2018-03-04-05:00:00,5.07000,163.00000,1016.50000,280.45000,34.00000,265.60000
2018-03-04-06:00:00,6.28000,162.00000,1016.00000,279.95000,34.00000,265.15000
2018-03-04-07:00:00,4.86000,170.00000,1015.90000,279.85000,33.00000,264.67000
2018-03-04-08:00:00,5.72000,156.00000,1016.10000,279.05000,34.00000,264.34000
2018-03-04-09:00:00,4.77000,140.00000,1016.40000,278.15000,35.00000,263.91000
2018-03-04-10:00:00,5.34000,141.00000,1017.30000,277.45000,37.00000,263.99000
2018-03-04-11:00:00,3.86000,142.00000,1018.80000,276.75000,38.00000,263.70000
2018-03-04-12:00:00,3.58000,160.00000,1019.90000,276.15000,39.00000,263.49000
2018-03-04-13:00:00,3.14000,180.00000,1020.90000,275.65000,39.00000,263.03000
2018-03-04-14:00:00,1.82000,101.00000,1021.40000,274.45000,43.00000,263.18000
2018-03-04-15:00:00,0.57000,105.00000,1021.40000,273.45000,45.00000,262.84000
2018-03-04-16:00:00,1.87000,10.00000,1021.90000,270.45000,53.00000,263.00000
2018-03-04-17:00:00,1.66000,34.00000,1022.10000,269.85000,57.00000,263.26000
2018-03-04-18:00:00,1.81000,12.00000,1022.60000,268.85000,60.00000,262.89000
2018-03-04-19:00:00,1.29000,344.00000,1022.80000,269.05000,59.00000,262.89000
2018-03-04-20:00:00,1.87000,21.00000,1023.20000,267.25000,67.00000,262.61000
2018-03-04-21:00:00,1.70000,358.00000,1023.90000,268.55000,63.00000,263.16000
2018-03-04-22:00:00,1.01000,309.00000,1024.70000,269.15000,64.00000,263.92000
2018-03-04-23:00:00,1.03000,20.00000,1025.50000,267.25000,72.00000,263.43000
2018-03-05-00:00:00,1.11000,16.00000,1026.50000,272.05000,57.00000,265.35000
2018-03-05-01:00:00,1.68000,78.00000,1027.10000,274.65000,47.00000,264.51000
2018-03-05-02:00:00,2.89000,132.00000,1027.40000,276.65000,37.00000,263.27000
2018-03-05-03:00:00,3.28000,164.00000,1027.10000,278.25000,34.00000,263.62000
2018-03-05-04:00:00,4.63000,158.00000,1026.50000,279.95000,29.00000,263.10000
2018-03-05-05:00:00,3.79000,182.00000,1025.30000,280.65000,27.00000,262.80000
2018-03-05-06:00:00,4.60000,191.00000,1024.10000,281.55000,21.00000,260.40000
2018-03-05-07:00:00,4.27000,191.00000,1023.40000,281.25000,20.00000,259.54000
2018-03-05-08:00:00,5.02000,187.00000,1023.00000,280.95000,22.00000,260.47000
2018-03-05-09:00:00,5.02000,183.00000,1022.70000,280.15000,25.00000,261.39000
2018-03-05-10:00:00,5.10000,183.00000,1022.80000,278.55000,27.00000,260.96000
2018-03-05-11:00:00,6.87000,170.00000,1024.00000,276.25000,33.00000,261.45000
2018-03-05-12:00:00,6.11000,167.00000,1025.40000,274.95000,37.00000,261.73000
2018-03-05-13:00:00,5.53000,171.00000,1026.20000,273.75000,43.00000,262.54000
2018-03-05-14:00:00,3.59000,170.00000,1027.00000,273.15000,48.00000,263.39000
2018-03-05-15:00:00,2.99000,90.00000,1027.20000,272.05000,53.00000,264.51000
2018-03-05-16:00:00,3.07000,106.00000,1027.70000,271.05000,59.00000,264.80000
2018-03-05-17:00:00,3.11000,131.00000,1028.10000,270.95000,60.00000,264.90000
2018-03-05-18:00:00,2.90000,121.00000,1028.30000,270.85000,61.00000,265.00000
2018-03-05-19:00:00,1.63000,104.00000,1027.90000,270.05000,63.00000,264.60000
2018-03-05-20:00:00,1.57000,102.00000,1028.20000,270.05000,64.00000,264.78000
2018-03-05-21:00:00,2.10000,104.00000,1028.80000,270.15000,67.00000,265.41000
2018-03-05-22:00:00,0.84000,102.00000,1029.70000,268.55000,68.00000,264.04000
2018-03-05-23:00:00,1.95000,109.00000,1030.80000,269.35000,71.00000,265.31000
2018-03-06-00:00:00,1.61000,123.00000,1032.00000,270.75000,66.00000,265.82000
2018-03-06-01:00:00,4.13000,123.00000,1032.60000,272.75000,58.00000,266.22000
2018-03-06-02:00:00,3.79000,148.00000,1033.10000,273.25000,56.00000,265.48000
2018-03-06-03:00:00,2.85000,167.00000,1032.90000,275.15000,49.00000,265.52000
2018-03-06-04:00:00,3.84000,155.00000,1032.20000,276.15000,44.00000,265.04000
2018-03-06-05:00:00,2.71000,158.00000,1030.80000,276.45000,38.00000,263.43000
2018-03-06-06:00:00,4.21000,186.00000,1029.80000,277.75000,32.00000,262.40000
2018-03-06-07:00:00,4.59000,158.00000,1029.10000,276.95000,31.00000,261.29000
2018-03-06-08:00:00,5.22000,160.00000,1028.60000,277.15000,30.00000,261.05000
2018-03-06-09:00:00,6.74000,163.00000,1028.50000,276.85000,30.00000,260.79000
2018-03-06-10:00:00,8.27000,160.00000,1029.20000,275.45000,36.00000,261.83000
2018-03-06-11:00:00,7.15000,164.00000,1029.70000,274.25000,39.00000,261.76000
2018-03-06-12:00:00,6.05000,162.00000,1029.80000,273.75000,33.00000,259.21000
2018-03-06-13:00:00,5.08000,157.00000,1030.00000,273.35000,33.00000,258.85000
2018-03-06-14:00:00,3.44000,186.00000,1029.80000,272.55000,40.00000,261.76000
2018-03-06-15:00:00,4.61000,155.00000,1029.60000,272.45000,44.00000,262.75000
2018-03-06-16:00:00,4.95000,158.00000,1028.90000,271.75000,44.00000,262.10000
2018-03-06-17:00:00,3.95000,161.00000,1028.50000,271.35000,46.00000,262.23000
2018-03-06-18:00:00,2.93000,171.00000,1028.00000,270.85000,48.00000,262.25000
2018-03-06-19:00:00,3.19000,142.00000,1027.20000,270.85000,50.00000,262.71000
2018-03-06-20:00:00,2.52000,107.00000,1026.10000,270.55000,45.00000,261.24000
2018-03-06-21:00:00,3.23000,147.00000,1025.70000,270.65000,40.00000,260.01000
2018-03-06-22:00:00,3.63000,150.00000,1024.70000,270.35000,41.00000,260.01000
2018-03-06-23:00:00,4.04000,157.00000,1024.40000,270.25000,44.00000,260.71000
2018-03-07-00:00:00,3.73000,161.00000,1024.60000,270.95000,43.00000,261.10000
2018-03-07-01:00:00,3.35000,164.00000,1024.80000,271.65000,43.00000,261.75000
2018-03-07-02:00:00,2.48000,149.00000,1024.10000,271.95000,44.00000,262.29000
2018-03-07-03:00:00,2.16000,169.00000,1023.10000,272.85000,46.00000,263.63000
2018-03-07-04:00:00,1.15000,142.00000,1022.10000,274.95000,42.00000,263.34000
2018-03-07-05:00:00,1.90000,155.00000,1021.00000,274.05000,46.00000,263.68000
2018-03-07-06:00:00,1.98000,24.00000,1020.50000,274.35000,47.00000,264.23000
2018-03-07-07:00:00,1.08000,156.00000,1019.80000,274.75000,46.00000,264.33000
2018-03-07-08:00:00,0.79000,313.00000,1019.50000,275.15000,46.00000,264.70000
2018-03-07-09:00:00,1.55000,184.00000,1019.60000,275.45000,46.00000,264.98000
2018-03-07-10:00:00,0.61000,104.00000,1020.60000,274.65000,48.00000,264.79000
2018-03-07-11:00:00,1.99000,43.00000,1022.30000,272.05000,55.00000,264.94000
2018-03-07-12:00:00,1.35000,37.00000,1023.60000,271.95000,56.00000,265.05000
2018-03-07-13:00:00,0.33000,329.00000,1024.70000,270.85000,60.00000,264.80000
2018-03-07-14:00:00,0.71000,347.00000,1026.10000,271.15000,58.00000,264.70000
2018-03-07-15:00:00,1.18000,344.00000,1026.80000,270.35000,61.00000,264.52000
2018-03-07-16:00:00,1.68000,357.00000,1027.40000,268.55000,64.00000,263.34000
2018-03-07-17:00:00,1.57000,3.00000,1028.10000,269.05000,64.00000,263.82000
2018-03-07-18:00:00,2.08000,359.00000,1028.40000,269.95000,56.00000,263.15000
2018-03-07-19:00:00,2.80000,360.00000,1028.50000,270.65000,51.00000,262.75000
2018-03-07-20:00:00,1.74000,31.00000,1028.60000,269.35000,50.00000,261.30000
2018-03-07-21:00:00,3.40000,41.00000,1029.00000,270.25000,43.00000,260.45000
2018-03-07-22:00:00,3.97000,29.00000,1029.20000,269.75000,42.00000,259.72000
2018-03-07-23:00:00,3.00000,14.00000,1029.90000,268.25000,47.00000,259.57000
2018-03-08-00:00:00,3.36000,34.00000,1030.40000,271.75000,34.00000,259.21000
2018-03-08-01:00:00,4.13000,42.00000,1030.80000,273.95000,27.00000,256.92000
2018-03-08-02:00:00,2.23000,44.00000,1030.90000,275.85000,25.00000,257.64000
2018-03-08-03:00:00,1.72000,116.00000,1030.40000,276.45000,24.00000,257.66000
2018-03-08-04:00:00,2.14000,130.00000,1029.20000,278.45000,22.00000,258.32000
2018-03-08-05:00:00,1.37000,266.00000,1028.10000,280.55000,20.00000,258.94000
2018-03-08-06:00:00,4.27000,172.00000,1026.60000,280.75000,21.00000,259.72000
2018-03-08-07:00:00,3.91000,196.00000,1026.10000,280.75000,23.00000,260.86000
2018-03-08-08:00:00,4.10000,189.00000,1025.60000,280.25000,27.00000,262.45000
2018-03-08-09:00:00,4.67000,185.00000,1025.50000,279.15000,32.00000,263.65000
2018-03-08-10:00:00,3.47000,190.00000,1024.60000,278.15000,34.00000,263.54000
2018-03-08-11:00:00,1.95000,191.00000,1025.10000,276.25000,38.00000,263.25000
2018-03-08-12:00:00,2.78000,180.00000,1025.60000,274.55000,45.00000,263.86000
2018-03-08-13:00:00,3.68000,180.00000,1026.10000,275.15000,42.00000,263.52000
2018-03-08-14:00:00,3.58000,160.00000,1025.80000,275.55000,41.00000,263.58000
2018-03-08-15:00:00,4.50000,152.00000,1025.40000,275.15000,40.00000,262.90000
2018-03-08-16:00:00,3.60000,116.00000,1025.00000,272.55000,51.00000,264.54000
2018-03-08-17:00:00,3.84000,113.00000,1024.90000,272.05000,55.00000,264.94000
2018-03-08-18:00:00,3.39000,114.00000,1024.50000,270.95000,60.00000,264.90000
2018-03-08-19:00:00,2.46000,100.00000,1023.90000,270.55000,62.00000,264.90000
2018-03-08-20:00:00,2.52000,98.00000,1023.60000,270.15000,63.00000,264.70000
2018-03-08-21:00:00,2.01000,102.00000,1023.20000,269.55000,66.00000,264.66000
2018-03-08-22:00:00,1.71000,93.00000,1022.70000,269.25000,67.00000,264.54000
2018-03-08-23:00:00,1.63000,114.00000,1022.30000,269.35000,68.00000,264.81000
2018-03-09-00:00:00,0.86000,87.00000,1022.40000,270.85000,61.00000,265.00000
2018-03-09-01:00:00,1.36000,130.00000,1022.20000,272.45000,51.00000,264.44000
2018-03-09-02:00:00,1.25000,78.00000,1021.20000,273.15000,48.00000,263.39000
2018-03-09-03:00:00,1.84000,107.00000,1020.00000,275.45000,43.00000,264.10000
