DateTime,SPD10,DIR10,SLP,T2,RH2,TD2
2018-03-04-00:00:00,4.25000,156.00000,1015.20000,279.65000,67.00000,273.98000
2018-03-04-01:00:00,4.01000,169.00000,1016.30000,279.45000,58.00000,271.80000
2018-03-04-02:00:00,4.52000,174.00000,1017.00000,279.65000,50.00000,269.98000
2018-03-04-03:00:00,5.58000,183.00000,1017.80000,279.45000,41.00000,267.15000
2018-03-04-04:00:00,4.78000,185.00000,1017.50000,279.35000,38.00000,266.06000
2018-03-04-05:00:00,6.00000,162.00000,1016.80000,280.25000,35.00000,265.80000
2018-03-04-06:00:00,5.07000,171.00000,1016.20000,279.95000,34.00000,265.15000
2018-03-04-07:00:00,5.04000,159.00000,1016.10000,279.95000,33.00000,264.76000
2018-03-04-08:00:00,5.01000,157.00000,1016.30000,278.95000,34.00000,264.25000
2018-03-04-09:00:00,4.29000,145.00000,1016.70000,278.15000,35.00000,263.91000
2018-03-04-10:00:00,4.84000,140.00000,1017.50000,277.25000,36.00000,263.46000
2018-03-04-11:00:00,3.37000,147.00000,1019.00000,276.75000,38.00000,263.70000
2018-03-04-12:00:00,3.43000,158.00000,1020.10000,276.35000,38.00000,263.34000
2018-03-04-13:00:00,3.74000,161.00000,1021.10000,275.95000,38.00000,262.97000
2018-03-04-14:00:00,2.24000,136.00000,1021.50000,275.95000,39.00000,263.31000
2018-03-04-15:00:00,1.99000,146.00000,1021.70000,275.45000,41.00000,263.49000
2018-03-04-16:00:00,1.68000,97.00000,1022.00000,274.85000,43.00000,263.55000
2018-03-04-17:00:00,2.38000,81.00000,1022.30000,274.25000,44.00000,263.29000
2018-03-04-18:00:00,2.31000,86.00000,1022.80000,273.75000,44.00000,262.83000
2018-03-04-19:00:00,2.36000,4.00000,1023.00000,271.25000,51.00000,263.31000
2018-03-04-20:00:00,2.39000,13.00000,1023.40000,270.55000,58.00000,264.13000
2018-03-04-21:00:00,2.14000,8.00000,1024.10000,271.55000,55.00000,264.47000
2018-03-04-22:00:00,0.60000,314.00000,1024.90000,270.05000,63.00000,264.60000
2018-03-04-23:00:00,1.31000,9.00000,1025.70000,269.95000,70.00000,265.73000
2018-03-05-00:00:00,1.09000,342.00000,1026.70000,273.05000,56.00000,265.29000
2018-03-05-01:00:00,2.21000,67.00000,1027.30000,275.05000,47.00000,264.88000
2018-03-05-02:00:00,3.37000,105.00000,1027.60000,275.85000,39.00000,263.21000
2018-03-05-03:00:00,3.82000,161.00000,1027.30000,277.95000,33.00000,262.97000
2018-03-05-04:00:00,4.23000,173.00000,1026.70000,279.65000,30.00000,263.27000
2018-03-05-05:00:00,4.54000,198.00000,1025.60000,280.25000,28.00000,262.92000
2018-03-05-06:00:00,4.65000,181.00000,1024.20000,281.35000,22.00000,260.82000
2018-03-05-07:00:00,5.65000,159.00000,1023.60000,281.45000,21.00000,260.32000
2018-03-05-08:00:00,5.04000,191.00000,1023.20000,281.25000,22.00000,260.73000
2018-03-05-09:00:00,5.06000,182.00000,1023.00000,280.25000,25.00000,261.48000
2018-03-05-10:00:00,5.63000,179.00000,1023.10000,278.85000,27.00000,261.22000
2018-03-05-11:00:00,7.62000,169.00000,1024.20000,276.15000,32.00000,260.97000
2018-03-05-12:00:00,5.33000,166.00000,1025.60000,274.65000,38.00000,261.79000
2018-03-05-13:00:00,5.81000,171.00000,1026.40000,273.65000,43.00000,262.45000
2018-03-05-14:00:00,2.53000,173.00000,1027.20000,272.45000,49.00000,263.98000
